Data version,From,To,,,,,,,,,,
real data,01.07.2017 13:00:00,31.07.2019 13:59:59,,,,,,,,,,
Date,PSE Actual [MW],PSE Planned [MW],SEPS Actual [MW],SEPS Planned [MW],APG Actual [MW],APG Planned [MW],TenneT Actual [MW],TenneT Planned [MW],50HzT Actual [MW],50HzT Planned [MW],CEPS Actual [MW],CEPS Planned [MW]
01.07.2017 13:00,"406,1802063",13,"-1405,225342","-1557,400024","-1385,780518",450,"559,822998",380,"1417,106689",261,"-407,8959961","-453,4000244"
01.07.2017 14:00,"367,486145",-4,"-1435,519653","-1515,5","-1406,357666",370,"501,6638794",309,"1406,781006",255,"-565,9462891","-585,5"
01.07.2017 15:00,"305,9352417",-39,"-1417,594116",-1614,"-1373,752563",420,"525,4094238",377,"1437,148438",335,"-522,8535767",-521
01.07.2017 16:00,"259,3441162",-17,"-1395,916992","-1579,800049","-1435,897705",450,"540,600647",300,"1475,847778",325,"-556,0222168","-521,8000488"
01.07.2017 17:00,"171,9541016",-48,"-1416,310791",-1631,"-1467,079712",440,"564,4315186",361,"1548,922729",360,"-598,0822144",-518
01.07.2017 18:00,"332,1033325",-25,"-1298,228027","-1601,300049","-1377,631348",450,"433,3971558",341,"1421,815674",391,"-488,5431519","-444,3000488"
01.07.2017 19:00,"633,645813",98,"-1218,266846","-1473,099976","-1386,617554",376,"282,1994629",312,"1266,604614",308,"-422,4346008","-379,0999756"
01.07.2017 20:00,"552,0202637",120,"-1212,110596","-1473,300049","-1335,815918",338,"285,1717834",233,"1238,956787",299,"-471,7777405","-483,3000488"
01.07.2017 21:00,"500,5443115",150,"-1221,23877",-1642,"-1268,777344",388,"285,1083374",341,"1274,671265",328,"-429,6920776",-435
01.07.2017 22:00,"485,7633667",97,"-1221,040649","-1373,699951","-1311,1604",355,"203,9131622",135,"1317,292969",300,"-525,2315063","-486,6999512"
01.07.2017 23:00,"301,0839844",0,"-1227,574219","-1468,599976","-1302,186523",370,"236,1453247",228,"1337,189331",240,"-655,342041","-630,5999756"
02.07.2017 00:00,"268,7626038",-39,"-1217,119995","-1645,5","-1422,325928",300,"117,2388153",114,"1282,613892",289,"-970,8304443","-981,5"
02.07.2017 01:00,"280,9779663",-50,"-994,1052246","-1342,099976","-1356,773682",275,"-35,21844864",-53,"1078,737183",164,"-1026,382202","-1006,099976"
02.07.2017 02:00,"293,0806885",-24,"-895,7818604","-1223,099976","-1354,546509",225,"-66,97810364",-111,"976,9876099",119,"-1047,238159","-1014,099976"
02.07.2017 03:00,"387,6339111",-10,"-772,1016235","-1111,900024","-1292,40332",252,"-231,9198608",-363,"856,1798096",174,"-1052,611084","-1058,900024"
02.07.2017 04:00,"371,4621277",0,"-629,8010864","-997,4000244","-1062,758667",280,"-325,5628967",-387,"684,4350586",129,"-962,2254028","-975,4000244"
02.07.2017 05:00,"323,9641418",0,"-575,6807251","-819,5","-960,859436",124,"-398,5851746",-497,"569,7637329",139,"-1041,397461","-1053,5"
