Date;PVPP [MW]
01.07.2015;518,5
02.07.2015;550
03.07.2015;541
04.07.2015;531,3
05.07.2015;474,4
06.07.2015;471,2
07.07.2015;522
08.07.2015;224,4
09.07.2015;361,2
10.07.2015;511,9
11.07.2015;492,2
12.07.2015;453
13.07.2015;222,7
14.07.2015;224,7
15.07.2015;336,1
16.07.2015;442,1
17.07.2015;433,9
18.07.2015;424
19.07.2015;370,7
20.07.2015;381,7
21.07.2015;402,3
22.07.2015;468,3
23.07.2015;253,9
24.07.2015;372,8
25.07.2015;271,2
26.07.2015;490
27.07.2015;259
28.07.2015;313,2
29.07.2015;297,1
30.07.2015;435,3
31.07.2015;470,5
01.08.2015;434,2
02.08.2015;235
03.08.2015;451,6
04.08.2015;465,7
05.08.2015;455,6
06.08.2015;465,8
07.08.2015;457,9
08.08.2015;447,2
09.08.2015;435
10.08.2015;440,3
11.08.2015;410,2
12.08.2015;392,5
13.08.2015;440,4
14.08.2015;404,9
15.08.2015;365,6
16.08.2015;264,5
17.08.2015;76,8
18.08.2015;97,2
19.08.2015;99,3
20.08.2015;346
21.08.2015;445,2
22.08.2015;395,3
23.08.2015;398
24.08.2015;365,8
25.08.2015;206,4
26.08.2015;488,7
27.08.2015;437
28.08.2015;327,3
29.08.2015;462,5
30.08.2015;488,4
31.08.2015;452,2
01.09.2015;416,9
02.09.2015;261
03.09.2015;305,8
04.09.2015;338,8
05.09.2015;275,5
06.09.2015;222,3
07.09.2015;201
08.09.2015;347,7
09.09.2015;236
10.09.2015;305,8
11.09.2015;163,4
12.09.2015;334,9
13.09.2015;422,6
14.09.2015;166,2
15.09.2015;201,9
16.09.2015;339,7
17.09.2015;410,4
18.09.2015;223,9
19.09.2015;361,2
20.09.2015;268,1
21.09.2015;252
22.09.2015;357,9
23.09.2015;148,9
24.09.2015;245,9
25.09.2015;226,1
26.09.2015;152,4
27.09.2015;247,7
28.09.2015;392,3
29.09.2015;297,4
30.09.2015;184,8
01.10.2015;446,5
02.10.2015;436,2
03.10.2015;297,1
04.10.2015;195
05.10.2015;244,9
06.10.2015;152,7
07.10.2015;87,5
08.10.2015;73,7
09.10.2015;91
10.10.2015;117,1
11.10.2015;254,6
12.10.2015;305,7
13.10.2015;50,2
14.10.2015;43,3
15.10.2015;27,5
16.10.2015;49,2
17.10.2015;103,2
18.10.2015;86,3
19.10.2015;82,3
20.10.2015;73,8
21.10.2015;69,9
22.10.2015;116,6
23.10.2015;176,2
24.10.2015;303,8
25.10.2015;89,2
26.10.2015;228,7
27.10.2015;75,9
28.10.2015;94
29.10.2015;35,1
30.10.2015;44,7
31.10.2015;287,2
01.11.2015;329,7
02.11.2015;315,3
03.11.2015;272,4
04.11.2015;180,6
05.11.2015;203,6
06.11.2015;170,1
07.11.2015;55,9
08.11.2015;254,4
09.11.2015;56,8
10.11.2015;107,7
11.11.2015;55,2
12.11.2015;96,2
13.11.2015;178,4
14.11.2015;181,1
15.11.2015;20
16.11.2015;179,3
17.11.2015;38,1
18.11.2015;99,8
19.11.2015;53,1
20.11.2015;21,4
21.11.2015;80,4
22.11.2015;76,9
23.11.2015;89,6
24.11.2015;148,1
25.11.2015;60,2
26.11.2015;54,7
27.11.2015;55,4
28.11.2015;115,2
29.11.2015;45,8
30.11.2015;34,1
01.12.2015;59
02.12.2015;33,4
03.12.2015;86
04.12.2015;83,5
05.12.2015;110,5
06.12.2015;121,1
07.12.2015;70
08.12.2015;35
09.12.2015;13,4
10.12.2015;97,2
11.12.2015;89,8
12.12.2015;47,6
13.12.2015;50,4
14.12.2015;78,4
15.12.2015;24,8
16.12.2015;45,2
17.12.2015;15,6
18.12.2015;20,9
19.12.2015;55,2
20.12.2015;30,1
21.12.2015;16,4
22.12.2015;51,8
23.12.2015;117,9
24.12.2015;83,2
25.12.2015;55,5
26.12.2015;135,2
27.12.2015;102,9
28.12.2015;73,4
29.12.2015;87,8
30.12.2015;128,8
31.12.2015;173,2
01.01.2016;22,5
02.01.2016;8,3
03.01.2016;11,2
04.01.2016;15,1
05.01.2016;12,3
06.01.2016;18,5
07.01.2016;22,2
08.01.2016;143,7
09.01.2016;48,7
10.01.2016;48,1
11.01.2016;14,8
12.01.2016;61,7
13.01.2016;56,7
14.01.2016;147,3
15.01.2016;74,1
16.01.2016;34,5
17.01.2016;87,3
18.01.2016;83,2
19.01.2016;62,2
20.01.2016;36,5
21.01.2016;68,2
22.01.2016;148,6
23.01.2016;18,2
24.01.2016;53,6
25.01.2016;24,3
26.01.2016;104,3
27.01.2016;100,5
28.01.2016;46
29.01.2016;227,6
30.01.2016;183
31.01.2016;122,4
01.02.2016;34,8
02.02.2016;79,5
03.02.2016;51,3
04.02.2016;105,6
05.02.2016;160,4
06.02.2016;223,9
07.02.2016;176
08.02.2016;144,2
09.02.2016;139,6
10.02.2016;67,6
11.02.2016;142,5
12.02.2016;167,3
13.02.2016;109,6
14.02.2016;184,7
15.02.2016;86,9
16.02.2016;89,3
17.02.2016;19,3
18.02.2016;114,7
19.02.2016;71,6
20.02.2016;207,5
21.02.2016;60,5
22.02.2016;256,7
23.02.2016;58,3
24.02.2016;199,7
25.02.2016;167,3
26.02.2016;293,1
27.02.2016;213,4
28.02.2016;99,1
29.02.2016;28,1
01.03.2016;22,4
02.03.2016;94,8
03.03.2016;82,9
04.03.2016;254,3
05.03.2016;219,7
06.03.2016;129
07.03.2016;142,2
08.03.2016;81,7
09.03.2016;145,8
10.03.2016;229,3
11.03.2016;109,2
12.03.2016;103,6
13.03.2016;101,8
14.03.2016;419,2
15.03.2016;108,5
16.03.2016;152,8
17.03.2016;448,7
18.03.2016;452,5
19.03.2016;133,2
20.03.2016;154,8
21.03.2016;145,9
22.03.2016;192,8
23.03.2016;209,7
24.03.2016;204,7
25.03.2016;135,8
26.03.2016;153,2
27.03.2016;477,9
28.03.2016;381
29.03.2016;377,1
30.03.2016;178,7
31.03.2016;366,1
01.04.2016;143,8
02.04.2016;510,1
03.04.2016;435,3
04.04.2016;382,2
05.04.2016;449,7
06.04.2016;264
07.04.2016;236,3
08.04.2016;121,2
09.04.2016;102,5
10.04.2016;119,1
11.04.2016;169,3
12.04.2016;277,7
13.04.2016;394
14.04.2016;198,9
15.04.2016;222,5
16.04.2016;259
17.04.2016;271,3
18.04.2016;251,2
19.04.2016;291,5
20.04.2016;492,6
21.04.2016;564,5
22.04.2016;507,7
23.04.2016;250,6
24.04.2016;343
25.04.2016;386,2
26.04.2016;279,5
27.04.2016;198,2
28.04.2016;393,9
29.04.2016;542,8
30.04.2016;558,1
01.05.2016;316
02.05.2016;464,5
03.05.2016;311,4
04.05.2016;133,9
05.05.2016;419,6
06.05.2016;545,4
07.05.2016;550,7
08.05.2016;486
09.05.2016;509,1
10.05.2016;495,4
11.05.2016;423,6
12.05.2016;231,5
13.05.2016;241,8
14.05.2016;432,9
15.05.2016;332,3
16.05.2016;350,2
17.05.2016;231
18.05.2016;321,1
19.05.2016;388,4
20.05.2016;393
21.05.2016;487,8
22.05.2016;552,1
23.05.2016;436,3
24.05.2016;232,3
25.05.2016;324,5
26.05.2016;383,4
27.05.2016;401,1
28.05.2016;392,8
29.05.2016;384,5
30.05.2016;393
31.05.2016;384,5
01.06.2016;399
02.06.2016;359,9
03.06.2016;278
04.06.2016;419,3
05.06.2016;412,7
06.06.2016;470,8
07.06.2016;568,2
08.06.2016;515,8
09.06.2016;356
10.06.2016;424,8
11.06.2016;267,2
12.06.2016;324,6
13.06.2016;308,9
14.06.2016;418,3
15.06.2016;237,3
16.06.2016;462,9
17.06.2016;292,5
