station,valid,tmpc,sped,peak_wind_time
LKPR,2017-01-01 00:00,-6.00,2.30,
LKPR,2017-01-01 00:30,-7.00,3.45,
LKPR,2017-01-01 01:00,-7.00,3.45,
LKPR,2017-01-01 01:30,-7.00,3.45,
LKPR,2017-01-01 02:00,-7.00,3.45,
LKPR,2017-01-01 02:30,-7.00,1.15,
LKPR,2017-01-01 03:00,-7.00,3.45,
LKPR,2017-01-01 03:30,-8.00,2.30,
LKPR,2017-01-01 04:00,-8.00,2.30,
LKPR,2017-01-01 04:30,-8.00,1.15,
LKPR,2017-01-01 05:00,-8.00,2.30,
LKPR,2017-01-01 05:30,-8.00,0.00,
LKPR,2017-01-01 05:52,-8.00,2.30,
LKPR,2017-01-01 06:00,-9.00,1.15,
LKPR,2017-01-01 06:30,-9.00,3.45,
LKPR,2017-01-01 07:00,-9.00,2.30,
LKPR,2017-01-01 07:05,-9.00,2.30,
LKPR,2017-01-01 07:16,-9.00,2.30,
LKPR,2017-01-01 07:30,-9.00,2.30,
LKPR,2017-01-01 08:00,-8.00,3.45,
LKPR,2017-01-01 08:30,-8.00,2.30,
LKPR,2017-01-01 08:53,-7.00,3.45,
LKPR,2017-01-01 09:00,-7.00,3.45,
LKPR,2017-01-01 09:07,-7.00,3.45,
LKPR,2017-01-01 09:14,-7.00,3.45,
LKPR,2017-01-01 09:30,-7.00,4.60,
LKPR,2017-01-01 09:42,-6.00,4.60,
LKPR,2017-01-01 09:50,-6.00,3.45,
LKPR,2017-01-01 10:00,-6.00,2.30,
LKPR,2017-01-01 10:22,-5.00,4.60,
LKPR,2017-01-01 10:30,-5.00,4.60,
LKPR,2017-01-01 11:00,-5.00,2.30,
LKPR,2017-01-01 11:30,-4.00,2.30,
LKPR,2017-01-01 12:00,-3.00,3.45,
LKPR,2017-01-01 12:30,-2.00,2.30,
LKPR,2017-01-01 13:00,-2.00,2.30,
LKPR,2017-01-01 13:06,-2.00,3.45,
LKPR,2017-01-01 13:30,-2.00,5.75,
LKPR,2017-01-01 14:00,-3.00,4.60,
LKPR,2017-01-01 14:19,-4.00,5.75,
LKPR,2017-01-01 14:23,-4.00,5.75,
LKPR,2017-01-01 14:30,-4.00,4.60,
LKPR,2017-01-01 14:38,-5.00,4.60,
LKPR,2017-01-01 14:45,-5.00,3.45,
LKPR,2017-01-01 14:55,-5.00,2.30,
LKPR,2017-01-01 15:00,-5.00,1.15,
LKPR,2017-01-01 15:08,-5.00,1.15,
LKPR,2017-01-01 15:30,-5.00,3.45,
LKPR,2017-01-01 16:00,-6.00,2.30,
LKPR,2017-01-01 16:30,-6.00,2.30,
LKPR,2017-01-01 16:44,-6.00,2.30,
LKPR,2017-01-01 17:00,-6.00,2.30,
LKPR,2017-01-01 17:30,-6.00,2.30,
LKPR,2017-01-01 18:00,-6.00,3.45,
LKPR,2017-01-01 18:30,-6.00,3.45,
LKPR,2017-01-01 19:00,-6.00,2.30,
LKPR,2017-01-01 19:10,-6.00,3.45,
LKPR,2017-01-01 19:30,-6.00,2.30,
LKPR,2017-01-01 19:39,-6.00,2.30,
LKPR,2017-01-01 19:55,-7.00,2.30,
LKPR,2017-01-01 20:00,-7.00,2.30,
LKPR,2017-01-01 20:04,-8.00,3.45,
LKPR,2017-01-01 20:12,-8.00,5.75,
LKPR,2017-01-01 20:15,-7.00,5.75,
LKPR,2017-01-01 20:30,-7.00,3.45,
LKPR,2017-01-01 20:34,-7.00,2.30,
LKPR,2017-01-01 21:00,-6.00,6.90,
LKPR,2017-01-01 21:30,-5.00,5.75,
LKPR,2017-01-01 22:00,-5.00,8.05,
LKPR,2017-01-01 22:30,-5.00,2.30,
LKPR,2017-01-01 23:00,-5.00,4.60,
LKPR,2017-01-01 23:30,-6.00,5.75,
LKPR,2017-01-02 00:00,-3.00,10.35,
LKPR,2017-01-02 00:30,-4.00,9.20,
LKPR,2017-01-02 01:00,-3.00,9.20,
LKPR,2017-01-02 01:18,-5.00,5.75,
LKPR,2017-01-02 01:30,-7.00,2.30,
LKPR,2017-01-02 01:39,-5.00,2.30,
LKPR,2017-01-02 01:46,-6.00,3.45,
LKPR,2017-01-02 01:54,-8.00,2.30,
LKPR,2017-01-02 02:00,-9.00,2.30,
LKPR,2017-01-02 02:30,-9.00,3.45,
LKPR,2017-01-02 02:54,-4.00,14.95,
LKPR,2017-01-02 03:00,-4.00,14.95,
LKPR,2017-01-02 03:30,-4.00,12.65,
LKPR,2017-01-02 04:00,-3.00,13.80,
LKPR,2017-01-02 04:30,-3.00,16.10,
LKPR,2017-01-02 05:00,-4.00,13.80,
LKPR,2017-01-02 05:30,-3.00,16.10,
LKPR,2017-01-02 06:00,-4.00,17.25,
LKPR,2017-01-02 06:30,-4.00,19.55,
LKPR,2017-01-02 07:00,-4.00,20.70,
LKPR,2017-01-02 07:14,-4.00,18.40,
LKPR,2017-01-02 07:30,-4.00,17.25,
LKPR,2017-01-02 07:54,-3.00,17.25,
LKPR,2017-01-02 08:00,-3.00,17.25,
LKPR,2017-01-02 08:30,-3.00,16.10,
LKPR,2017-01-02 09:00,-3.00,17.25,
LKPR,2017-01-02 09:23,-2.00,20.70,
LKPR,2017-01-02 09:30,-2.00,19.55,
LKPR,2017-01-02 10:00,-2.00,21.85,
LKPR,2017-01-02 10:30,-2.00,20.70,
LKPR,2017-01-02 11:00,-2.00,18.40,
LKPR,2017-01-02 11:09,-2.00,18.40,
LKPR,2017-01-02 11:13,-2.00,17.25,
LKPR,2017-01-02 11:24,-2.00,17.25,
LKPR,2017-01-02 11:30,-2.00,17.25,
LKPR,2017-01-02 11:41,-2.00,14.95,
LKPR,2017-01-02 11:45,-2.00,14.95,
LKPR,2017-01-02 11:49,-2.00,14.95,
LKPR,2017-01-02 12:00,-2.00,14.95,
LKPR,2017-01-02 12:12,-2.00,16.10,
LKPR,2017-01-02 12:30,-2.00,14.95,
LKPR,2017-01-02 12:37,-2.00,14.95,
LKPR,2017-01-02 12:46,-2.00,13.80,
LKPR,2017-01-02 12:54,-2.00,13.80,
LKPR,2017-01-02 13:00,-2.00,13.80,
LKPR,2017-01-02 13:11,-1.00,16.10,
LKPR,2017-01-02 13:30,-1.00,16.10,
LKPR,2017-01-02 14:00,-1.00,12.65,
LKPR,2017-01-02 14:30,-2.00,16.10,
LKPR,2017-01-02 15:00,-2.00,13.80,
LKPR,2017-01-02 15:30,-2.00,10.35,
LKPR,2017-01-02 15:53,-1.00,11.50,
LKPR,2017-01-02 16:00,-1.00,10.35,
LKPR,2017-01-02 16:30,-1.00,10.35,
LKPR,2017-01-02 16:43,-1.00,11.50,
LKPR,2017-01-02 17:00,-1.00,10.35,
LKPR,2017-01-02 17:22,-1.00,10.35,
LKPR,2017-01-02 17:30,-1.00,10.35,
LKPR,2017-01-02 18:00,-1.00,11.50,
LKPR,2017-01-02 18:30,-1.00,11.50,
LKPR,2017-01-02 19:00,-1.00,10.35,
LKPR,2017-01-02 19:20,-1.00,12.65,
LKPR,2017-01-02 19:30,-1.00,12.65,
LKPR,2017-01-02 20:00,-1.00,11.50,
LKPR,2017-01-02 20:30,-1.00,11.50,
LKPR,2017-01-02 21:00,-2.00,10.35,
LKPR,2017-01-02 21:30,-2.00,11.50,
LKPR,2017-01-02 22:00,-3.00,10.35,
LKPR,2017-01-02 22:30,-3.00,10.35,
LKPR,2017-01-02 23:00,-5.00,10.35,
LKPR,2017-01-02 23:30,-5.00,10.35,
LKPR,2017-01-03 00:00,-4.00,9.20,
LKPR,2017-01-03 00:30,-4.00,11.50,
LKPR,2017-01-03 01:00,-4.00,11.50,
LKPR,2017-01-03 01:30,-3.00,12.65,
LKPR,2017-01-03 02:00,-3.00,16.10,
LKPR,2017-01-03 02:30,-3.00,16.10,
LKPR,2017-01-03 03:00,-3.00,16.10,
LKPR,2017-01-03 03:30,-3.00,16.10,
LKPR,2017-01-03 04:00,-3.00,17.25,
LKPR,2017-01-03 04:30,-3.00,13.80,
LKPR,2017-01-03 05:00,-3.00,14.95,
LKPR,2017-01-03 05:30,-2.00,17.25,
LKPR,2017-01-03 06:00,-2.00,14.95,
LKPR,2017-01-03 06:30,-2.00,14.95,
LKPR,2017-01-03 07:00,-1.00,19.55,
LKPR,2017-01-03 07:30,-1.00,19.55,
LKPR,2017-01-03 08:00,-1.00,16.10,
LKPR,2017-01-03 08:30,-1.00,17.25,
LKPR,2017-01-03 09:00,-1.00,19.55,
LKPR,2017-01-03 09:30,-1.00,20.70,
LKPR,2017-01-03 10:00,0.00,23.00,
LKPR,2017-01-03 10:30,0.00,24.15,
LKPR,2017-01-03 11:00,0.00,21.85,
LKPR,2017-01-03 11:30,0.00,19.55,
LKPR,2017-01-03 12:00,0.00,21.85,
LKPR,2017-01-03 12:30,0.00,23.00,
LKPR,2017-01-03 13:00,0.00,23.00,
LKPR,2017-01-03 13:30,1.00,23.00,
LKPR,2017-01-03 14:00,1.00,20.70,
LKPR,2017-01-03 14:30,1.00,21.85,
LKPR,2017-01-03 15:00,0.00,19.55,
LKPR,2017-01-03 15:30,0.00,21.85,
LKPR,2017-01-03 15:50,0.00,20.70,
LKPR,2017-01-03 16:00,0.00,20.70,
LKPR,2017-01-03 16:30,0.00,20.70,
LKPR,2017-01-03 17:00,0.00,21.85,
LKPR,2017-01-03 17:30,0.00,26.45,
LKPR,2017-01-03 17:56,0.00,23.00,
LKPR,2017-01-03 18:00,0.00,23.00,
LKPR,2017-01-03 18:05,0.00,24.15,
LKPR,2017-01-03 18:30,0.00,24.15,
LKPR,2017-01-03 18:42,0.00,23.00,
LKPR,2017-01-03 19:00,0.00,27.60,
LKPR,2017-01-03 19:30,0.00,24.15,
LKPR,2017-01-03 20:00,0.00,21.85,
LKPR,2017-01-03 20:30,0.00,23.00,
LKPR,2017-01-03 21:00,0.00,24.15,
LKPR,2017-01-03 21:30,0.00,21.85,
LKPR,2017-01-03 21:38,0.00,23.00,
LKPR,2017-01-03 22:00,0.00,25.30,
LKPR,2017-01-03 22:14,0.00,27.60,
LKPR,2017-01-03 22:22,0.00,27.60,
LKPR,2017-01-03 22:30,0.00,27.60,
LKPR,2017-01-03 22:51,0.00,27.60,
