"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2018-02-01 00:00:00";6,7;16,8;21,8
"2018-02-02 00:00:00";5,4;19,8;24,4
"2018-02-03 00:00:00";4,8;17,1;21,7
"2018-02-04 00:00:00";6;17,2;21,1
"2018-02-05 00:00:00";2,6;11,4;14,5
"2018-02-06 00:00:00";1,9;8,2;10,3
"2018-02-07 00:00:00";3,3;12,4;14,7
"2018-02-08 00:00:00";4,2;12,3;15
"2018-02-09 00:00:00";5,3;14,9;17,7
"2018-02-10 00:00:00";4,2;14,6;17,5
"2018-02-11 00:00:00";8,7;25,7;33,9
"2018-02-12 00:00:00";8,3;23,6;28,7
"2018-02-13 00:00:00";3,9;13;14,9
"2018-02-14 00:00:00";4,7;16,5;20,6
"2018-02-15 00:00:00";7,7;19,5;24,1
"2018-02-16 00:00:00";4,5;15,5;18,9
"2018-02-17 00:00:00";1,6;10,6;12,9
"2018-02-18 00:00:00";3,6;11,1;13,1
"2018-02-19 00:00:00";2,3;13,2;15,5
"2018-02-20 00:00:00";3,3;12,9;15,6
"2018-02-21 00:00:00";1,8;8;10,3
"2018-02-22 00:00:00";2,6;8,8;10,5
"2018-02-23 00:00:00";1,8;11,3;14,6
"2018-02-24 00:00:00";4,2;14,1;18,7
"2018-02-25 00:00:00";4,4;14,3;18,9
"2018-02-26 00:00:00";5,2;15,2;19,5
"2018-02-27 00:00:00";7,8;21,3;26,7
"2018-02-28 00:00:00";8,3;18,6;24
