Date de production,Heures,Prévision de production des moyens programmables (MW),"Prévision de production des moyens dits ""fatals"" (MW)"
01/01/2018,00:00,39068,5304
01/01/2018,00:30,38044,5303
01/01/2018,01:00,35874,5332
01/01/2018,01:30,35504,5303
01/01/2018,02:00,34707,5282
01/01/2018,02:30,34594,5266
01/01/2018,03:00,34474,5236
01/01/2018,03:30,33995,5216
01/01/2018,04:00,33288,5189
01/01/2018,04:30,33220,5182
01/01/2018,05:00,33160,5195
01/01/2018,05:30,33242,5189
01/01/2018,06:00,33316,5233
01/01/2018,06:30,34001,5270
01/01/2018,07:00,34450,5298
01/01/2018,07:30,34604,5305
01/01/2018,08:00,34904,5334
01/01/2018,08:30,35209,5359
01/01/2018,09:00,35748,5432
01/01/2018,09:30,35812,5466
01/01/2018,10:00,35210,5515
01/01/2018,10:30,35349,5524
01/01/2018,11:00,35089,5478
01/01/2018,11:30,35096,5482
01/01/2018,12:00,35053,5482
01/01/2018,12:30,35315,5477
01/01/2018,13:00,35321,5422
01/01/2018,13:30,35279,5414
01/01/2018,14:00,36225,5347
01/01/2018,14:30,36073,5372
01/01/2018,15:00,37149,5413
01/01/2018,15:30,36980,5418
01/01/2018,16:00,39114,5423
01/01/2018,16:30,39568,5404
01/01/2018,17:00,43614,5401
01/01/2018,17:30,45338,5375
01/01/2018,18:00,49458,5466
01/01/2018,18:30,50542,5498
01/01/2018,19:00,51430,5503
01/01/2018,19:30,51443,5497
01/01/2018,20:00,51276,5478
01/01/2018,20:30,50996,5440
01/01/2018,21:00,50492,5406
01/01/2018,21:30,50260,5402
01/01/2018,22:00,50318,5400
01/01/2018,22:30,51761,5380
01/01/2018,23:00,52060,5364
01/01/2018,23:30,52578,5346
02/01/2018,00:00,50470,5322
02/01/2018,00:30,49008,5278
02/01/2018,01:00,46565,5263
02/01/2018,01:30,46360,5245
02/01/2018,02:00,45168,5198
02/01/2018,02:30,44340,5176
02/01/2018,03:00,44572,5142
02/01/2018,03:30,44655,5123
02/01/2018,04:00,44676,5098
02/01/2018,04:30,45029,5055
02/01/2018,05:00,47467,5035
02/01/2018,05:30,48559,5007
02/01/2018,06:00,52844,5024
02/01/2018,06:30,55119,5013
02/01/2018,07:00,57113,4990
02/01/2018,07:30,59452,4969
02/01/2018,08:00,62107,4956
02/01/2018,08:30,62742,4959
02/01/2018,09:00,63583,5038
02/01/2018,09:30,64091,5041
02/01/2018,10:00,63983,5060
02/01/2018,10:30,63783,5075
02/01/2018,11:00,63350,5081
02/01/2018,11:30,63734,5090
02/01/2018,12:00,63674,5079
02/01/2018,12:30,63552,5050
02/01/2018,13:00,63777,5025
02/01/2018,13:30,62698,5022
02/01/2018,14:00,62339,4920
02/01/2018,14:30,62250,4905
02/01/2018,15:00,62503,4938
02/01/2018,15:30,62212,4994
02/01/2018,16:00,62067,5026
02/01/2018,16:30,62306,5060
02/01/2018,17:00,63271,5091
02/01/2018,17:30,64725,5179
02/01/2018,18:00,64362,5245
02/01/2018,18:30,65042,5268
02/01/2018,19:00,64679,5246
02/01/2018,19:30,63993,5250
02/01/2018,20:00,61443,5237
02/01/2018,20:30,60246,5253
02/01/2018,21:00,59438,5235
02/01/2018,21:30,58057,5214
02/01/2018,22:00,57603,5208
02/01/2018,22:30,58090,5291
02/01/2018,23:00,56164,5306
02/01/2018,23:30,56202,5342
03/01/2018,00:00,53174,5413
03/01/2018,00:30,52035,5384
03/01/2018,01:00,47653,5371
03/01/2018,01:30,47156,5381
03/01/2018,02:00,47130,5360
03/01/2018,02:30,46182,5361
03/01/2018,03:00,45595,5351
03/01/2018,03:30,45465,5351
03/01/2018,04:00,45112,5381
03/01/2018,04:30,45131,5380
03/01/2018,05:00,46537,5367
03/01/2018,05:30,47574,5369
03/01/2018,06:00,50321,5423
03/01/2018,06:30,52053,5447
03/01/2018,07:00,54241,5438
03/01/2018,07:30,55720,5430
03/01/2018,08:00,58563,5428
03/01/2018,08:30,58759,5429
03/01/2018,09:00,59668,5445
03/01/2018,09:30,59953,5437
03/01/2018,10:00,59431,5469
03/01/2018,10:30,59480,5496
03/01/2018,11:00,59847,5530
03/01/2018,11:30,59679,5534
03/01/2018,12:00,59515,5551
03/01/2018,12:30,59111,5552
03/01/2018,13:00,58571,5548
03/01/2018,13:30,58760,5546
03/01/2018,14:00,58205,5421
03/01/2018,14:30,57648,5403
03/01/2018,15:00,57240,5374
03/01/2018,15:30,57626,5315
03/01/2018,16:00,57255,5304
03/01/2018,16:30,57578,5258
03/01/2018,17:00,59657,5302
03/01/2018,17:30,59794,5322
03/01/2018,18:00,61949,5397
03/01/2018,18:30,62937,5385
03/01/2018,19:00,62634,5445
03/01/2018,19:30,61678,5393
03/01/2018,20:00,59437,5352
03/01/2018,20:30,57656,5341
03/01/2018,21:00,56983,5303
03/01/2018,21:30,56264,5331
03/01/2018,22:00,54119,5292
03/01/2018,22:30,55023,5285
03/01/2018,23:00,53500,5251
03/01/2018,23:30,52556,5235
04/01/2018,00:00,50821,5497
04/01/2018,00:30,50487,5510
04/01/2018,01:00,46972,5558
04/01/2018,01:30,46429,5565
04/01/2018,02:00,45622,5542
04/01/2018,02:30,44958,5532
04/01/2018,03:00,45322,5538
04/01/2018,03:30,45321,5487
04/01/2018,04:00,46101,5487
04/01/2018,04:30,46202,5484
04/01/2018,05:00,47529,5484
04/01/2018,05:30,49797,5481
04/01/2018,06:00,54696,5545
04/01/2018,06:30,55619,5561
04/01/2018,07:00,59939,5558
04/01/2018,07:30,60567,5560
04/01/2018,08:00,61869,5573
04/01/2018,08:30,61859,5588
04/01/2018,09:00,62290,5609
04/01/2018,09:30,62264,5626
04/01/2018,10:00,62549,5604
04/01/2018,10:30,62498,5620
04/01/2018,11:00,63093,5602
04/01/2018,11:30,63569,5601
04/01/2018,12:00,63780,5617
04/01/2018,12:30,63556,5611
04/01/2018,13:00,63082,5603
04/01/2018,13:30,62747,5583
04/01/2018,14:00,62683,5467
04/01/2018,14:30,62333,5449
04/01/2018,15:00,62182,5427
04/01/2018,15:30,61640,5404
04/01/2018,16:00,61496,5395
04/01/2018,16:30,62124,5381
04/01/2018,17:00,62367,5434
04/01/2018,17:30,62866,5466
04/01/2018,18:00,63981,5562
04/01/2018,18:30,64968,5542
04/01/2018,19:00,64560,5574
04/01/2018,19:30,63550,5513
04/01/2018,20:00,60566,5444
04/01/2018,20:30,59945,5394
04/01/2018,21:00,58083,5297
04/01/2018,21:30,56874,5298
04/01/2018,22:00,56652,5249
04/01/2018,22:30,57922,5226
04/01/2018,23:00,57083,5211
04/01/2018,23:30,57248,5208
05/01/2018,00:00,54765,5217
05/01/2018,00:30,53520,5177
05/01/2018,01:00,51646,5172
05/01/2018,01:30,51518,5141
05/01/2018,02:00,49148,5143
05/01/2018,02:30,47845,5138
