,valid,sped
0,2015-01-01 00:00,2.3
1,2015-01-01 00:30,3.45
2,2015-01-01 01:00,2.3
3,2015-01-01 01:30,1.15
4,2015-01-01 02:00,3.45
5,2015-01-01 02:30,2.3
6,2015-01-01 03:00,2.3
7,2015-01-01 03:30,2.3
8,2015-01-01 04:00,2.3
9,2015-01-01 04:30,2.3
10,2015-01-01 05:00,2.3
11,2015-01-01 05:30,3.45
12,2015-01-01 06:00,3.45
13,2015-01-01 06:30,3.45
14,2015-01-01 07:00,2.3
15,2015-01-01 07:30,3.45
16,2015-01-01 08:00,3.45
17,2015-01-01 08:30,1.15
18,2015-01-01 09:00,0.0
19,2015-01-01 09:30,2.3
20,2015-01-01 10:00,2.3
21,2015-01-01 10:30,1.15
22,2015-01-01 11:00,6.9
23,2015-01-01 11:30,6.9
24,2015-01-01 12:00,9.2
25,2015-01-01 12:30,8.05
26,2015-01-01 13:00,9.2
27,2015-01-01 13:30,11.5
28,2015-01-01 14:00,8.05
29,2015-01-01 14:30,10.35
30,2015-01-01 15:00,9.2
31,2015-01-01 15:30,8.05
32,2015-01-01 16:00,9.2
33,2015-01-01 16:30,9.2
34,2015-01-01 17:00,9.2
35,2015-01-01 17:30,10.35
36,2015-01-01 18:00,8.05
37,2015-01-01 18:30,9.2
38,2015-01-01 19:00,8.05
39,2015-01-01 19:30,6.9
40,2015-01-01 20:00,9.2
41,2015-01-01 20:30,11.5
42,2015-01-01 21:00,12.65
43,2015-01-01 21:30,8.05
44,2015-01-01 22:00,9.2
45,2015-01-01 22:30,12.65
46,2015-01-01 23:00,11.5
47,2015-01-01 23:30,6.9
48,2015-01-02 00:00,8.05
49,2015-01-02 00:30,10.35
50,2015-01-02 01:00,11.5
51,2015-01-02 01:30,9.2
52,2015-01-02 02:00,10.35
53,2015-01-02 02:30,8.05
54,2015-01-02 03:00,8.05
55,2015-01-02 03:30,9.2
56,2015-01-02 04:00,5.75
57,2015-01-02 04:30,8.05
58,2015-01-02 05:00,6.9
59,2015-01-02 05:30,8.05
60,2015-01-02 06:00,6.9
61,2015-01-02 06:30,8.05
62,2015-01-02 07:00,8.05
63,2015-01-02 07:30,6.9
64,2015-01-02 08:00,8.05
65,2015-01-02 08:30,8.05
66,2015-01-02 09:00,6.9
67,2015-01-02 09:30,10.35
68,2015-01-02 10:00,5.75
69,2015-01-02 10:30,8.05
70,2015-01-02 11:00,9.2
71,2015-01-02 11:30,11.5
72,2015-01-02 12:00,8.05
73,2015-01-02 12:30,9.2
74,2015-01-02 13:00,6.9
75,2015-01-02 13:30,11.5
76,2015-01-02 14:00,10.35
77,2015-01-02 14:30,6.9
78,2015-01-02 15:00,8.05
79,2015-01-02 15:30,9.2
80,2015-01-02 16:00,4.6
81,2015-01-02 16:30,5.75
82,2015-01-02 17:00,3.45
83,2015-01-02 17:30,4.6
84,2015-01-02 18:00,2.3
85,2015-01-02 18:30,1.15
