STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
        954;2018011200;   10;   5.7;  70;eor
        954;2018011201;   10;   5.1;  30;eor
        954;2018011202;   10;   5.2;  30;eor
        954;2018011203;   10;   6.6;  50;eor
        954;2018011204;   10;   8.5;  60;eor
        954;2018011205;   10;   9.0;  70;eor
        954;2018011206;   10;   9.5;  70;eor
        954;2018011207;   10;   9.4;  90;eor
        954;2018011208;   10;   8.4;  90;eor
        954;2018011209;   10;   8.0;  90;eor
        954;2018011210;   10;   7.4; 100;eor
        954;2018011211;   10;   7.7;  90;eor
        954;2018011212;   10;   8.2; 100;eor
        954;2018011213;   10;   8.8; 100;eor
        954;2018011214;   10;   9.2; 100;eor
        954;2018011215;   10;   8.7; 100;eor
        954;2018011216;   10;   9.1; 110;eor
        954;2018011217;   10;   9.6; 100;eor
        954;2018011218;   10;   9.4; 120;eor
        954;2018011219;   10;  10.3; 110;eor
        954;2018011220;   10;  10.0; 110;eor
        954;2018011221;   10;   9.6; 110;eor
        954;2018011222;   10;   9.5; 110;eor
        954;2018011223;   10;   9.6; 110;eor
        954;2018011300;   10;  10.0; 110;eor
        954;2018011301;   10;  10.4; 120;eor
        954;2018011302;   10;   9.4; 120;eor
        954;2018011303;   10;   9.0; 120;eor
        954;2018011304;   10;   8.9; 120;eor
        954;2018011305;   10;  10.2; 120;eor
        954;2018011306;   10;  10.3; 130;eor
        954;2018011307;   10;  10.4; 130;eor
        954;2018011308;   10;  10.1; 130;eor
        954;2018011309;   10;   9.3; 130;eor
        954;2018011310;   10;  10.1; 130;eor
        954;2018011311;   10;  10.0; 130;eor
        954;2018011312;   10;  10.3; 130;eor
        954;2018011313;   10;   9.9; 120;eor
        954;2018011314;   10;  10.0; 120;eor
        954;2018011315;   10;  10.3; 120;eor
        954;2018011316;   10;  10.2; 120;eor
        954;2018011317;   10;  10.6; 130;eor
        954;2018011318;   10;  11.0; 130;eor
        954;2018011319;   10;  10.4; 130;eor
        954;2018011320;   10;  10.0; 130;eor
        954;2018011321;   10;  10.0; 120;eor
        954;2018011322;   10;  10.5; 120;eor
        954;2018011323;   10;  10.8; 120;eor
        954;2018011400;   10;  11.1; 120;eor
        954;2018011401;   10;  11.0; 120;eor
        954;2018011402;   10;  10.9; 120;eor
        954;2018011403;   10;  10.5; 120;eor
        954;2018011404;   10;  11.2; 130;eor
        954;2018011405;   10;  11.8; 120;eor
        954;2018011406;   10;  12.3; 130;eor
        954;2018011407;   10;  11.8; 120;eor
        954;2018011408;   10;  11.0; 130;eor
        954;2018011409;   10;  10.6; 120;eor
        954;2018011410;   10;   9.8; 130;eor
        954;2018011411;   10;  10.5; 140;eor
        954;2018011412;   10;  10.6; 150;eor
        954;2018011413;   10;  10.5; 140;eor
        954;2018011414;   10;  11.3; 160;eor
        954;2018011415;   10;  10.3; 140;eor
        954;2018011416;   10;  10.3; 150;eor
        954;2018011417;   10;  11.0; 150;eor
        954;2018011418;   10;  13.0; 150;eor
        954;2018011419;   10;  13.7; 150;eor
        954;2018011420;   10;  14.2; 150;eor
        954;2018011421;   10;  14.1; 150;eor
        954;2018011422;   10;  13.5; 150;eor
        954;2018011423;   10;  13.2; 160;eor
        954;2018011500;   10;  13.5; 160;eor
        954;2018011501;   10;  13.2; 160;eor
        954;2018011502;   10;  13.3; 170;eor
        954;2018011503;   10;  13.6; 170;eor
        954;2018011504;   10;  13.5; 170;eor
        954;2018011505;   10;  13.5; 170;eor
        954;2018011506;   10;  12.9; 170;eor
        954;2018011507;   10;  13.2; 170;eor
        954;2018011508;   10;  13.8; 180;eor
        954;2018011509;   10;  13.7; 180;eor
        954;2018011510;   10;  14.1; 180;eor
        954;2018011511;   10;  15.0; 180;eor
        954;2018011512;   10;  15.8; 170;eor
        954;2018011513;   10;  16.4; 180;eor
        954;2018011514;   10;  15.0; 170;eor
        954;2018011515;   10;  15.5; 170;eor
        954;2018011516;   10;  15.5; 170;eor
        954;2018011517;   10;  15.5; 180;eor
        954;2018011518;   10;  16.4; 180;eor
        954;2018011519;   10;  15.3; 180;eor
        954;2018011520;   10;  15.8; 180;eor
        954;2018011521;   10;  15.4; 180;eor
        954;2018011522;   10;  15.6; 180;eor
        954;2018011523;   10;  13.8; 250;eor
        954;2018011600;   10;  13.3; 270;eor
        954;2018011601;   10;  12.4; 250;eor
        954;2018011602;   10;  15.0; 260;eor
        954;2018011603;   10;  11.5; 260;eor
        954;2018011604;   10;   9.0; 260;eor
        954;2018011605;   10;  12.1; 250;eor
        954;2018011606;   10;  11.7; 240;eor
        954;2018011607;   10;  11.2; 250;eor
        954;2018011608;   10;  11.9; 270;eor
        954;2018011609;   10;  11.7; 270;eor
        954;2018011610;   10;  10.1; 280;eor
        954;2018011611;   10;   9.7; 260;eor
        954;2018011612;   10;   9.7; 270;eor
        954;2018011613;   10;  12.1; 260;eor
        954;2018011614;   10;  13.3; 270;eor
        954;2018011615;   10;  12.0; 270;eor
        954;2018011616;   10;  12.2; 270;eor
        954;2018011617;   10;  11.7; 260;eor
        954;2018011618;   10;  11.5; 260;eor
        954;2018011619;   10;  11.5; 250;eor
        954;2018011620;   10;  11.4; 250;eor
        954;2018011621;   10;  12.2; 260;eor
        954;2018011622;   10;  10.2; 260;eor
        954;2018011623;   10;  10.9; 260;eor
        954;2018011700;   10;   9.3; 260;eor
        954;2018011701;   10;   9.8; 220;eor
        954;2018011702;   10;  10.6; 280;eor
