STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3231;20180106;   10;   6.7;   2.4;    3;   7.3;   6;    0.000;   0;   7.6;   8.9;  955.15;    5.5;   98.38;    6.3;    3.8;    3.2;eor
       3231;20180107;   10;  11.5;   4.5;    3;   0.0;   6;    0.000;   0;   7.6;   6.5;  967.75;    2.1;   91.38;    3.8;    1.1;    1.1;eor
       3231;20180108;   10;   9.5;   3.8;    3;   0.0;   0;    1.933;   0;   7.2;   6.4;  970.35;    2.4;   87.79;    4.7;    0.5;   -0.5;eor
       3231;20180109;   10;   5.6;   1.7;    3;   0.3;   6;    0.433;   0;   5.5;   6.9;  960.84;    2.5;   94.71;    5.5;   -1.2;   -3.0;eor
       3231;20180110;   10;   5.2;   1.9;    3;   0.1;   6;    2.817;   0;   6.5;   7.1;  959.16;    2.5;   97.38;    6.0;    0.0;   -1.7;eor
       3231;20180111;   10;   3.7;   1.1;    3;   0.0;   0;    0.000;   0;   7.5;   6.8;  962.67;    1.7;   98.08;    4.6;   -0.3;   -1.1;eor
       3231;20180112;   10;   2.2;   0.8;    3;   0.0;   6;    0.000;   0;   7.6;   6.9;  970.72;    1.6;   99.83;    2.7;   -0.2;   -0.1;eor
       3231;20180113;   10;   8.0;   2.5;    3;   0.0;   6;    0.000;   0;   7.6;   6.2;  971.56;    1.8;   88.58;    2.8;   -1.4;   -1.4;eor
       3231;20180114;   10;   8.5;   3.6;    3;   0.0;   0;    0.167;   0;   7.6;   4.3;  968.96;   -0.5;   73.63;    1.3;   -1.8;   -3.3;eor
       3231;20180115;   10;  11.8;   5.0;    3;  11.3;   8;    0.000;   0;   5.8;   5.2;  959.27;   -1.1;   91.46;    1.0;   -3.0;   -3.9;eor
       3231;20180116;   10;  18.1;   4.8;    3;   6.5;   8;    1.083;   0;   6.2;   6.5;  941.65;    2.1;   91.08;    5.5;   -0.4;   -2.1;eor
       3231;20180117;   10;  17.6;   5.6;    3;   3.3;   8;    1.567;   6;   6.9;   5.3;  946.25;    0.1;   85.54;    1.2;   -1.3;   -3.7;eor
       3231;20180118;   10;  29.1;   7.0;    3;   3.9;   8;    1.850;   9;   5.5;   5.6;  946.78;    2.3;   78.88;    7.5;   -0.2;   -1.2;eor
       3231;20180119;   10;   8.9;   2.3;    3;   2.5;   8;    0.050;   3;   7.4;   5.6;  953.58;    0.6;   88.13;    2.2;   -1.1;   -8.8;eor
       3231;20180120;   10;   6.5;   3.1;    3;   3.9;   8;    0.233;   5;   7.5;   5.8;  951.88;   -0.2;   96.08;    0.6;   -1.6;   -3.5;eor
       3231;20180121;   10;   9.9;   2.9;    3;   1.5;   8;    0.067;  11;   7.5;   5.6;  957.55;   -0.6;   96.17;    0.2;   -1.5;   -1.0;eor
       3231;20180122;   10;  11.2;   3.7;    3;   2.5;   8;    0.000;  12;   7.6;   5.8;  957.18;   -0.4;   97.63;    3.1;   -1.5;   -0.5;eor
       3231;20180123;   10;   8.8;   2.9;    3;   0.7;   6;    0.000;   8;   7.1;   7.1;  968.28;    3.7;   89.21;    4.7;    1.1;    0.0;eor
       3231;20180124;   10;  10.6;   4.7;    3;   0.0;   6;    0.000;   0;   7.8;   9.0;  966.38;    6.1;   95.67;    8.4;    4.2;    2.9;eor
       3231;20180125;   10;   9.3;   3.6;    3;   2.0;   6;    0.000;   0;   7.7;   9.2;  961.23;    7.2;   90.38;    8.1;    6.1;    5.4;eor
       3231;20180126;   10;   6.5;   2.1;    3;   0.5;   6;    0.000;   0;   7.4;   8.2;  964.21;    4.7;   96.21;    6.2;    3.1;    2.2;eor
       3231;20180127;   10;  10.6;   2.6;    3;   0.0;   6;    1.983;   0;   6.9;   7.3;  975.58;    2.9;   96.50;    5.8;    0.8;    0.6;eor
       3231;20180128;   10;  11.3;   3.9;    3;   0.2;   6;    0.000;   0;   7.3;   7.7;  976.37;    4.6;   90.75;    6.3;    2.5;    2.5;eor
       3231;20180129;   10;  14.9;   4.6;    3;   0.2;   6;    0.000;   0;   7.1;   8.4;  972.18;    7.2;   82.33;    8.2;    5.6;    4.7;eor
       3231;20180130;   10;  10.2;   3.1;    3;   0.0;   6;    5.083;   0;   4.5;   5.6;  973.00;    2.5;   77.04;    5.7;   -1.6;   -2.7;eor
       3231;20180131;   10;  11.8;   4.5;    3;   5.4;   8;    0.000;   0;   7.7;   7.8;  956.90;    3.7;   97.29;    6.1;   -0.9;   -1.0;eor
       3231;20180201;   10;  10.4;   3.0;    3;   0.2;   8;    2.283;   0;   6.7;   5.7;  948.57;    1.6;   82.67;    3.6;   -0.8;   -2.6;eor
       3231;20180202;   10;   9.3;   3.9;    3;   1.6;   8;    0.000;   0;   7.3;   5.8;  950.77;    0.1;   94.29;    1.2;   -1.2;   -2.1;eor
       3231;20180203;   10;   7.4;   2.4;    3;   1.5;   7;    1.850;   0;   7.3;   5.0;  952.21;    0.1;   80.71;    1.5;   -1.5;   -2.6;eor
       3231;20180204;   10;   7.6;   3.1;    3;   1.1;   8;    0.000;   3;   7.0;   4.6;  961.45;   -2.3;   89.21;   -0.8;   -4.8;  -10.1;eor
       3231;20180205;   10;   8.2;   3.1;    3;   0.0;   0;    4.533;   4;   4.5;   3.7;  969.84;   -3.9;   81.33;   -1.5;   -6.9;  -15.1;eor
       3231;20180206;   10;   4.3;   1.2;    3;   0.0;   0;    0.867;   4;   5.6;   3.6;  960.76;   -3.9;   79.50;   -0.4;   -7.7;  -14.7;eor
       3231;20180207;   10;   7.5;   2.6;    3;   0.0;   0;    8.017;   4;   2.4;   3.9;  959.21;   -3.3;   82.38;    2.2;   -7.2;  -12.4;eor
       3231;20180208;   10;   3.4;   1.1;    3;   0.0;   0;    5.900;   5;   2.9;   3.7;  964.06;   -4.3;   85.63;    0.9;   -8.2;  -13.2;eor
       3231;20180209;   10;   7.9;   2.4;    3;   0.0;   8;    0.000;   5;   6.7;   4.2;  961.94;   -4.3;   92.92;   -1.8;   -7.8;  -12.7;eor
       3231;20180210;   10;   6.3;   2.4;    3;   0.0;   8;    0.150;   5;   7.6;   5.0;  961.26;   -1.1;   88.50;    0.6;   -2.8;   -4.8;eor
       3231;20180211;   10;  14.0;   4.5;    3;   3.7;   8;    0.000;   4;   7.0;   5.5;  952.55;   -0.6;   93.67;    0.7;   -2.2;   -8.2;eor
       3231;20180212;   10;  10.8;   2.8;    3;   0.9;   8;    2.417;  10;   6.5;   4.8;  958.02;   -1.2;   86.29;    1.5;   -6.1;   -5.5;eor
       3231;20180213;   10;   4.5;   2.2;    3;   0.0;   0;    2.133;   9;   4.9;   4.2;  961.46;   -4.0;   91.92;   -0.5;   -7.5;   -9.7;eor
       3231;20180214;   10;   5.8;   1.8;    3;   0.0;   0;    8.800;   8;   0.2;   3.3;  963.83;   -4.5;   77.75;    1.0;   -9.1;  -10.8;eor
       3231;20180215;   10;  11.1;   3.8;    3;   2.7;   8;    0.000;   8;   7.0;   4.4;  963.38;   -3.0;   88.08;   -0.8;   -6.9;   -7.4;eor
       3231;20180216;   10;   5.1;   1.8;    3;   0.0;   6;    0.583;   9;   7.1;   5.7;  970.25;   -0.9;   99.54;    0.4;   -2.9;   -4.4;eor
       3231;20180217;   10;   6.9;   2.1;    3;   0.0;   0;    0.000;   7;   7.7;   5.0;  968.87;   -1.1;   88.58;    1.6;   -2.8;   -7.2;eor
       3231;20180218;   10;   5.9;   1.8;    3;   0.0;   0;    5.433;   7;   4.3;   4.4;  972.01;   -1.3;   79.58;    2.3;   -4.2;   -9.2;eor
       3231;20180219;   10;   3.1;   1.3;    3;   0.0;   0;    0.617;   7;   7.1;   4.0;  965.78;   -2.6;   78.92;    1.1;   -5.7;   -9.4;eor
       3231;20180220;   10;   7.2;   2.4;    3;   0.0;   8;    2.250;   8;   6.1;   4.0;  962.90;   -3.3;   83.88;   -0.3;   -7.2;  -10.3;eor
       3231;20180221;   10;  10.5;   4.6;    3;   0.0;   0;    7.500;   8;   3.9;   3.6;  967.11;   -2.9;   73.71;    0.2;   -5.9;   -8.0;eor
       3231;20180222;   10;  14.7;   5.9;    3;   0.0;   0;    9.233;   8;   2.9;   3.1;  966.74;   -3.3;   64.17;   -1.1;   -6.4;   -9.3;eor
       3231;20180223;   10;  10.9;   4.2;    3;   0.0;   0;    9.417;   8;   0.0;   2.5;  966.14;   -5.5;   62.92;   -1.8;   -9.1;  -13.7;eor
       3231;20180224;   10;  15.7;   6.2;    3;   0.0;   8;    7.300;   8;   2.0;   2.3;  969.75;   -5.7;   57.00;   -2.8;   -8.9;  -10.9;eor
       3231;20180225;   10;  11.8;   5.0;    3;   0.0;   7;    9.000;   7;   2.7;   1.9;  971.89;   -8.2;   58.33;   -5.5;  -11.9;  -14.6;eor
       3231;20180226;   10;  14.9;   5.1;    3;   0.0;   7;    2.800;   7;   5.5;   2.2;  969.14;   -9.1;   70.46;   -7.4;  -11.2;  -13.8;eor
       3231;20180227;   10;  12.4;   5.0;    3;   0.0;   7;    9.600;   7;   1.8;   1.6;  964.04;  -10.8;   60.63;   -7.4;  -14.6;  -16.1;eor
       3231;20180228;   10;  10.3;   3.6;    3;   0.0;   7;    8.750;   7;   2.2;   1.7;  964.69;  -11.5;   66.29;   -8.8;  -15.3;  -17.7;eor
