STATIONS_ID;MESS_DATUM;QN_7;SD_SO;eor
        954;2000050107;   10;  0.00;eor
        954;2000050108;   10;  0.00;eor
        954;2000050109;   10;  0.00;eor
        954;2000050110;   10;  0.00;eor
        954;2000050111;   10;  0.00;eor
        954;2000050112;   10;  0.00;eor
        954;2000050113;   10;  0.00;eor
        954;2000050114;   10;  0.00;eor
        954;2000050115;   10;  0.00;eor
        954;2000050116;   10;  0.00;eor
        954;2000050117;   10;  0.00;eor
        954;2000050118;   10;  0.00;eor
        954;2000050119;   10;  0.00;eor
        954;2000050120;   10;  0.00;eor
        954;2000050203;   10;  0.00;eor
        954;2000050204;   10;  0.00;eor
        954;2000050205;   10; 36.00;eor
        954;2000050206;   10; 60.00;eor
        954;2000050207;   10; 43.00;eor
        954;2000050208;   10; 59.00;eor
        954;2000050209;   10; 53.00;eor
        954;2000050210;   10; 17.00;eor
        954;2000050211;   10;  0.00;eor
        954;2000050212;   10;  3.00;eor
        954;2000050213;   10; 17.00;eor
        954;2000050214;   10;  5.00;eor
        954;2000050215;   10;  0.00;eor
        954;2000050216;   10;  0.00;eor
        954;2000050217;   10;  0.00;eor
        954;2000050218;   10;  0.00;eor
        954;2000050219;   10;  0.00;eor
        954;2000050220;   10;  0.00;eor
        954;2000050303;   10;  0.00;eor
        954;2000050304;   10;  0.00;eor
        954;2000050305;   10; 11.00;eor
        954;2000050306;   10; 16.00;eor
        954;2000050307;   10; 18.00;eor
        954;2000050308;   10; 51.00;eor
        954;2000050309;   10; 60.00;eor
        954;2000050310;   10; 53.00;eor
        954;2000050311;   10; 60.00;eor
        954;2000050312;   10; 60.00;eor
        954;2000050313;   10; 60.00;eor
        954;2000050314;   10; 60.00;eor
        954;2000050315;   10; 60.00;eor
        954;2000050316;   10; 60.00;eor
        954;2000050317;   10; 60.00;eor
        954;2000051408;   10; 60.00;eor
        954;2000051409;   10; 60.00;eor
        954;2000051410;   10; 60.00;eor
        954;2000051411;   10; 60.00;eor
        954;2000051412;   10; 60.00;eor
        954;2000051413;   10; 60.00;eor
        954;2000051414;   10; 60.00;eor
        954;2000051415;   10; 60.00;eor
        954;2000051416;   10; 60.00;eor
        954;2000051417;   10; 60.00;eor
        954;2000051418;   10; 60.00;eor
        954;2000051419;   10; 30.00;eor
        954;2000051420;   10;  0.00;eor
        954;2000051503;   10;  0.00;eor
        954;2000051504;   10; 54.00;eor
        954;2000051505;   10; 60.00;eor
        954;2000051506;   10; 60.00;eor
        954;2000051507;   10; 60.00;eor
        954;2000051508;   10; 60.00;eor
        954;2000051509;   10; 60.00;eor
        954;2000051510;   10; 60.00;eor
        954;2000051511;   10; 60.00;eor
        954;2000051512;   10; 60.00;eor
        954;2000051513;   10; 60.00;eor
        954;2000051514;   10; 60.00;eor
        954;2000051515;   10; 60.00;eor
        954;2000051516;   10; 60.00;eor
        954;2000051517;   10; 60.00;eor
        954;2000051518;   10; 48.00;eor
        954;2000051519;   10;  0.00;eor
        954;2000051520;   10;  0.00;eor
        954;2000051603;   10;  0.00;eor
        954;2000051604;   10; 24.00;eor
        954;2000051605;   10; 60.00;eor
        954;2000051606;   10; 60.00;eor
        954;2000051607;   10; 60.00;eor
        954;2000051608;   10; 60.00;eor
        954;2000051609;   10; 60.00;eor
        954;2000051610;   10; 60.00;eor
        954;2000051611;   10; 60.00;eor
        954;2000051612;   10; 60.00;eor
        954;2000051613;   10; 60.00;eor
        954;2000051614;   10; 60.00;eor
        954;2000051615;   10; 60.00;eor
        954;2000051616;   10; 60.00;eor
        954;2000051617;   10; 54.00;eor
        954;2000051618;   10;  6.00;eor
        954;2000051619;   10;  0.00;eor
        954;2000051620;   10;  0.00;eor
        954;2000051703;   10;  0.00;eor
        954;2000051705;   10;  0.00;eor
        954;2000051706;   10;  0.00;eor
        954;2000051708;   10;  0.00;eor
        954;2000051709;   10;  0.00;eor
        954;2000051710;   10;  0.00;eor
        954;2000051711;   10; 12.00;eor
        954;2000051712;   10;  0.00;eor
        954;2000051713;   10;  6.00;eor
        954;2000051714;   10; 54.00;eor
        954;2000051715;   10; 60.00;eor
        954;2000051716;   10; 30.00;eor
        954;2000051717;   10; 30.00;eor
        954;2000051718;   10;  0.00;eor
        954;2000051719;   10;  0.00;eor
        954;2000051720;   10;  0.00;eor
        954;2000051803;   10;  0.00;eor
        954;2000051804;   10;  0.00;eor
        954;2000051805;   10;  0.00;eor
        954;2000051806;   10;  6.00;eor
        954;2000051807;   10; 12.00;eor
        954;2000051808;   10; 30.00;eor
        954;2000051809;   10;  0.00;eor
        954;2000051810;   10;  0.00;eor
        954;2000051812;   10;  0.00;eor
        954;2000051813;   10;  0.00;eor
        954;2000051814;   10; 24.00;eor
        954;2000051815;   10; 60.00;eor
        954;2000051816;   10; 48.00;eor
        954;2000051817;   10; 54.00;eor
        954;2000051818;   10; 48.00;eor
        954;2000051819;   10; 18.00;eor
        954;2000051820;   10;  0.00;eor
        954;2000051903;   10;  0.00;eor
        954;2000051904;   10; 18.00;eor
        954;2000051905;   10; 60.00;eor
        954;2000051906;   10; 42.00;eor
        954;2000051907;   10; 30.00;eor
        954;2000051908;   10; 36.00;eor
        954;2000051909;   10; 30.00;eor
        954;2000051910;   10; 12.00;eor
        954;2000051911;   10; 18.00;eor
        954;2000051912;   10;  6.00;eor
        954;2000051913;   10; 36.00;eor
        954;2000051914;   10; 36.00;eor
        954;2000051915;   10; 42.00;eor
        954;2000051916;   10; 36.00;eor
        954;2000051917;   10; 42.00;eor
        954;2000051918;   10; 24.00;eor
        954;2000051919;   10; 12.00;eor
        954;2000051920;   10;  0.00;eor
        954;2000052003;   10;  0.00;eor
        954;2000052004;   10; 36.00;eor
        954;2000052005;   10; 60.00;eor
        954;2000052007;   10; 60.00;eor
        954;2000052008;   10; 60.00;eor
        954;2000052009;   10; 60.00;eor
        954;2000052010;   10; 60.00;eor
        954;2000052011;   10; 60.00;eor
        954;2000052012;   10; 60.00;eor
        954;2000052013;   10; 60.00;eor
        954;2000052014;   10; 60.00;eor
        954;2000052015;   10; 60.00;eor
        954;2000052016;   10; 54.00;eor
        954;2000052017;   10; 60.00;eor
        954;2000052018;   10; 60.00;eor
        954;2000052019;   10;  6.00;eor
        954;2000052020;   10;  0.00;eor
        954;2000052103;   10;  0.00;eor
        954;2000052104;   10; 48.00;eor
        954;2000052105;   10; 60.00;eor
        954;2000052106;   10; 48.00;eor
        954;2000052107;   10; 60.00;eor
        954;2000052108;   10; 60.00;eor
        954;2000052109;   10; 60.00;eor
        954;2000052110;   10; 60.00;eor
        954;2000052111;   10; 60.00;eor
        954;2000052112;   10; 60.00;eor
        954;2000052113;   10; 60.00;eor
        954;2000052114;   10; 60.00;eor
        954;2000052115;   10; 60.00;eor
        954;2000052116;   10; 60.00;eor
        954;2000052117;   10; 30.00;eor
        954;2000052118;   10; 36.00;eor
        954;2000052119;   10; 12.00;eor
        954;2000052120;   10;  0.00;eor
        954;2000052203;   10;  0.00;eor
        954;2000052204;   10; 24.00;eor
        954;2000052205;   10; 60.00;eor
        954;2000052206;   10; 60.00;eor
        954;2000052207;   10; 60.00;eor
        954;2000052208;   10; 60.00;eor
        954;2000052209;   10; 60.00;eor
        954;2000052210;   10; 60.00;eor
        954;2000052211;   10; 60.00;eor
        954;2000052212;   10; 60.00;eor
        954;2000052213;   10; 60.00;eor
        954;2000052214;   10; 60.00;eor
        954;2000052215;   10; 60.00;eor
        954;2000052217;   10; 60.00;eor
        954;2000052218;   10; 60.00;eor
        954;2000052219;   10; 24.00;eor
        954;2000052220;   10;  0.00;eor
        954;2000052303;   10;  0.00;eor
        954;2000052304;   10;  0.00;eor
        954;2000052305;   10;  0.00;eor
        954;2000052306;   10; 18.00;eor
        954;2000052307;   10; 18.00;eor
        954;2000052308;   10; 36.00;eor
        954;2000052309;   10; 60.00;eor
        954;2000052310;   10;  0.00;eor
        954;2000052311;   10;  0.00;eor
        954;2000052312;   10;  0.00;eor
        954;2000052313;   10;  6.00;eor
        954;2000052314;   10;  6.00;eor
        954;2000052315;   10;  0.00;eor
        954;2000052316;   10;  0.00;eor
        954;2000052317;   10;  0.00;eor
        954;2000052318;   10;  0.00;eor
        954;2000052319;   10;  0.00;eor
        954;2000052320;   10;  0.00;eor
        954;2000052403;   10;  0.00;eor
        954;2000052404;   10;  0.00;eor
        954;2000052406;   10;  0.00;eor
        954;2000052407;   10;  0.00;eor
        954;2000052408;   10;  6.00;eor
        954;2000052409;   10; 12.00;eor
        954;2000052410;   10; 60.00;eor
        954;2000052411;   10; 60.00;eor
        954;2000052412;   10; 60.00;eor
        954;2000052413;   10; 60.00;eor
        954;2000052414;   10; 60.00;eor
        954;2000052415;   10; 48.00;eor
        954;2000052416;   10;  0.00;eor
        954;2000052417;   10;  0.00;eor
        954;2000052418;   10;  0.00;eor
        954;2000052419;   10;  0.00;eor
        954;2000052420;   10;  0.00;eor
        954;2000052504;   10;  0.00;eor
        954;2000052505;   10;  0.00;eor
        954;2000052506;   10;  0.00;eor
        954;2000052508;   10;  0.00;eor
        954;2000052509;   10;  0.00;eor
        954;2000052510;   10;  0.00;eor
        954;2000052511;   10; 48.00;eor
        954;2000052512;   10; 36.00;eor
        954;2000052513;   10;  6.00;eor
        954;2000052514;   10; 18.00;eor
        954;2000052515;   10;  0.00;eor
        954;2000052516;   10;  0.00;eor
        954;2000052517;   10; 18.00;eor
        954;2000052520;   10;  0.00;eor
        954;2000052603;   10;  0.00;eor
        954;2000052604;   10; 60.00;eor
        954;2000052605;   10; 60.00;eor
        954;2000052606;   10; 60.00;eor
        954;2000052607;   10; 48.00;eor
        954;2000052608;   10; 60.00;eor
        954;2000052609;   10; 60.00;eor
        954;2000052610;   10; 60.00;eor
        954;2000052611;   10; 54.00;eor
        954;2000052612;   10; 60.00;eor
        954;2000052614;   10; 42.00;eor
        954;2000052615;   10;  0.00;eor
        954;2000052616;   10;  6.00;eor
        954;2000052617;   10;  0.00;eor
        954;2000052618;   10;  0.00;eor
        954;2000052619;   10;  0.00;eor
        954;2000052620;   10;  0.00;eor
        954;2000052703;   10;  0.00;eor
        954;2000052704;   10;  0.00;eor
        954;2000052705;   10;  0.00;eor
        954;2000052706;   10;  0.00;eor
        954;2000052707;   10;  6.00;eor
        954;2000052708;   10;  0.00;eor
        954;2000052709;   10;  0.00;eor
        954;2000052710;   10;  0.00;eor
        954;2000052711;   10;  6.00;eor
        954;2000052712;   10; 18.00;eor
        954;2000052713;   10; 36.00;eor
        954;2000052714;   10; 54.00;eor
        954;2000052715;   10; 60.00;eor
        954;2000052716;   10; 60.00;eor
        954;2000052717;   10; 60.00;eor
        954;2000052718;   10; 60.00;eor
        954;2000052719;   10; 12.00;eor
        954;2000052720;   10;  0.00;eor
        954;2000052803;   10;  0.00;eor
        954;2000052804;   10;  0.00;eor
        954;2000052805;   10;  0.00;eor
        954;2000052806;   10;  0.00;eor
        954;2000052807;   10;  0.00;eor
        954;2000052808;   10;  0.00;eor
        954;2000052809;   10;  0.00;eor
        954;2000052810;   10;  0.00;eor
        954;2000052811;   10;  0.00;eor
        954;2000052812;   10;  6.00;eor
        954;2000052813;   10; 18.00;eor
        954;2000052814;   10;  0.00;eor
        954;2000052815;   10;  0.00;eor
        954;2000052816;   10;  0.00;eor
        954;2000052817;   10;  0.00;eor
