Datum;Uhrzeit;Kommerzieller Nettoexport[MWh];Niederlande (Export)[MWh];Niederlande (Import)[MWh];Schweiz (Export)[MWh];Schweiz (Import)[MWh];Dänemark (Export)[MWh];Dänemark (Import)[MWh];Tschechien (Export)[MWh];Tschechien (Import)[MWh];Luxemburg (Export)[MWh];Luxemburg (Import)[MWh];Schweden (Export)[MWh];Schweden (Import)[MWh];Österreich (Export)[MWh];Österreich (Import)[MWh];Frankreich (Export)[MWh];Frankreich (Import)[MWh];Polen (Export)[MWh];Polen (Import)[MWh]
01.06.2015;00:00;-;-;-;2.119;-1.880;-;-;-;-;402;-1;-;-;-;-;2.929;-0;-;-
01.06.2015;01:00;-;-;-;1.492;-1.886;-;-;-;-;383;-1;-;-;-;-;2.554;-0;-;-
01.06.2015;02:00;-;-;-;1.832;-2.106;-;-;-;-;376;-1;-;-;-;-;2.819;-173;-;-
01.06.2015;03:00;-;-;-;1.674;-2.212;-;-;-;-;383;-1;-;-;-;-;2.214;-51;-;-
01.06.2015;04:00;-;-;-;1.044;-2.395;-;-;-;-;394;-1;-;-;-;-;2.109;-0;-;-
01.06.2015;05:00;-;-;-;1.063;-2.749;-;-;-;-;419;-1;-;-;-;-;2.046;-0;-;-
01.06.2015;06:00;-;-;-;754;-2.489;-;-;-;-;429;-1;-;-;-;-;706;-1.247;-;-
01.06.2015;07:00;-;-;-;710;-2.800;-;-;-;-;488;-1;-;-;-;-;430;-395;-;-
01.06.2015;08:00;-;-;-;714;-2.650;-;-;-;-;527;-1;-;-;-;-;0;-0;-;-
01.06.2015;09:00;-;-;-;1.384;-2.383;-;-;-;-;549;-1;-;-;-;-;0;-0;-;-
01.06.2015;10:00;-;-;-;1.314;-2.085;-;-;-;-;564;-1;-;-;-;-;0;-227;-;-
01.06.2015;11:00;-;-;-;2.219;-2.026;-;-;-;-;580;-1;-;-;-;-;0;-0;-;-
01.06.2015;12:00;-;-;-;1.785;-2.264;-;-;-;-;573;-1;-;-;-;-;73;-0;-;-
01.06.2015;13:00;-;-;-;1.930;-2.544;-;-;-;-;558;-1;-;-;-;-;488;-26;-;-
01.06.2015;14:00;-;-;-;1.930;-2.146;-;-;-;-;540;-1;-;-;-;-;172;-1;-;-
01.06.2015;15:00;-;-;-;1.168;-1.875;-;-;-;-;527;-1;-;-;-;-;0;-353;-;-
01.06.2015;16:00;-;-;-;923;-2.246;-;-;-;-;519;-1;-;-;-;-;0;-404;-;-
01.06.2015;17:00;-;-;-;844;-3.100;-;-;-;-;520;-1;-;-;-;-;101;-0;-;-
01.06.2015;18:00;-;-;-;804;-3.723;-;-;-;-;521;-1;-;-;-;-;1.377;-728;-;-
01.06.2015;19:00;-;-;-;913;-4.452;-;-;-;-;524;-1;-;-;-;-;1.788;-0;-;-
01.06.2015;20:00;-;-;-;549;-4.549;-;-;-;-;499;-1;-;-;-;-;1.442;-153;-;-
01.06.2015;21:00;-;-;-;615;-4.361;-;-;-;-;500;-1;-;-;-;-;18;-334;-;-
01.06.2015;22:00;-;-;-;1.308;-3.666;-;-;-;-;507;-1;-;-;-;-;769;-0;-;-
01.06.2015;23:00;-;-;-;1.411;-2.052;-;-;-;-;466;-1;-;-;-;-;0;-0;-;-
02.06.2015;00:00;-;-;-;294;-1.932;-;-;-;-;427;-1;-;-;-;-;90;-322;-;-
02.06.2015;01:00;-;-;-;285;-2.470;-;-;-;-;403;-1;-;-;-;-;0;-0;-;-
02.06.2015;02:00;-;-;-;512;-2.639;-;-;-;-;395;-1;-;-;-;-;1.053;-50;-;-
02.06.2015;03:00;-;-;-;513;-2.624;-;-;-;-;399;-1;-;-;-;-;804;-90;-;-
02.06.2015;04:00;-;-;-;438;-2.803;-;-;-;-;406;-1;-;-;-;-;995;-422;-;-
02.06.2015;05:00;-;-;-;412;-2.823;-;-;-;-;417;-1;-;-;-;-;283;-441;-;-
02.06.2015;06:00;-;-;-;341;-2.479;-;-;-;-;424;-1;-;-;-;-;930;-2.633;-;-
02.06.2015;07:00;-;-;-;361;-3.030;-;-;-;-;477;-1;-;-;-;-;710;-2.730;-;-
02.06.2015;08:00;-;-;-;688;-2.574;-;-;-;-;509;-1;-;-;-;-;777;-2.300;-;-
02.06.2015;09:00;-;-;-;1.456;-1.370;-;-;-;-;526;-1;-;-;-;-;379;-866;-;-
02.06.2015;10:00;-;-;-;1.897;-1.097;-;-;-;-;539;-1;-;-;-;-;221;-596;-;-
02.06.2015;11:00;-;-;-;1.685;-891;-;-;-;-;544;-1;-;-;-;-;105;-152;-;-
02.06.2015;12:00;-;-;-;1.680;-940;-;-;-;-;523;-1;-;-;-;-;17;-34;-;-
02.06.2015;13:00;-;-;-;1.651;-851;-;-;-;-;510;-1;-;-;-;-;0;-0;-;-
02.06.2015;14:00;-;-;-;1.893;-1.093;-;-;-;-;508;-1;-;-;-;-;25;-25;-;-
02.06.2015;15:00;-;-;-;1.858;-1.058;-;-;-;-;498;-1;-;-;-;-;161;-25;-;-
02.06.2015;16:00;-;-;-;1.887;-1.096;-;-;-;-;487;-1;-;-;-;-;41;-116;-;-
02.06.2015;17:00;-;-;-;1.801;-1.001;-;-;-;-;494;-1;-;-;-;-;77;-25;-;-
02.06.2015;18:00;-;-;-;1.820;-1.032;-;-;-;-;505;-1;-;-;-;-;0;-1.235;-;-
02.06.2015;19:00;-;-;-;1.146;-2.102;-;-;-;-;509;-1;-;-;-;-;0;-1.676;-;-
02.06.2015;20:00;-;-;-;96;-2.274;-;-;-;-;492;-1;-;-;-;-;0;-1.189;-;-
02.06.2015;21:00;-;-;-;341;-1.655;-;-;-;-;485;-1;-;-;-;-;0;-919;-;-
02.06.2015;22:00;-;-;-;1.857;-1.561;-;-;-;-;504;-1;-;-;-;-;0;-154;-;-
02.06.2015;23:00;-;-;-;1.563;-1.102;-;-;-;-;465;-1;-;-;-;-;734;-0;-;-
03.06.2015;00:00;-;-;-;554;-780;-;-;-;-;420;-1;-;-;-;-;701;-716;-;-
03.06.2015;01:00;-;-;-;452;-771;-;-;-;-;402;-1;-;-;-;-;1.144;-844;-;-
03.06.2015;02:00;-;-;-;402;-760;-;-;-;-;397;-1;-;-;-;-;907;-990;-;-
03.06.2015;03:00;-;-;-;348;-1.590;-;-;-;-;398;-1;-;-;-;-;1;-398;-;-
03.06.2015;04:00;-;-;-;291;-1.812;-;-;-;-;406;-1;-;-;-;-;0;-849;-;-
03.06.2015;05:00;-;-;-;761;-996;-;-;-;-;424;-1;-;-;-;-;30;-988;-;-
03.06.2015;06:00;-;-;-;591;-2.040;-;-;-;-;426;-1;-;-;-;-;326;-954;-;-
03.06.2015;07:00;-;-;-;452;-3.232;-;-;-;-;474;-1;-;-;-;-;442;-0;-;-
03.06.2015;08:00;-;-;-;480;-2.766;-;-;-;-;509;-1;-;-;-;-;1.989;-135;-;-
03.06.2015;09:00;-;-;-;1.968;-1.787;-;-;-;-;534;-1;-;-;-;-;2.682;-1.908;-;-
03.06.2015;10:00;-;-;-;1.597;-1.169;-;-;-;-;551;-1;-;-;-;-;1.473;-222;-;-
03.06.2015;11:00;-;-;-;1.489;-446;-;-;-;-;563;-1;-;-;-;-;1.345;-0;-;-
03.06.2015;12:00;-;-;-;1.571;-600;-;-;-;-;553;-1;-;-;-;-;1.632;-0;-;-
03.06.2015;13:00;-;-;-;1.765;-659;-;-;-;-;540;-1;-;-;-;-;1.969;-0;-;-
03.06.2015;14:00;-;-;-;1.746;-546;-;-;-;-;533;-1;-;-;-;-;1.812;-0;-;-
03.06.2015;15:00;-;-;-;1.721;-531;-;-;-;-;522;-1;-;-;-;-;1.021;-0;-;-
03.06.2015;16:00;-;-;-;1.506;-809;-;-;-;-;509;-1;-;-;-;-;317;-0;-;-
03.06.2015;17:00;-;-;-;1.776;-1.519;-;-;-;-;518;-1;-;-;-;-;454;-867;-;-
03.06.2015;18:00;-;-;-;546;-2.071;-;-;-;-;523;-1;-;-;-;-;1.293;-105;-;-
03.06.2015;19:00;-;-;-;583;-2.322;-;-;-;-;526;-1;-;-;-;-;1.001;-937;-;-
03.06.2015;20:00;-;-;-;313;-3.253;-;-;-;-;502;-1;-;-;-;-;620;-1.431;-;-
03.06.2015;21:00;-;-;-;360;-3.062;-;-;-;-;488;-1;-;-;-;-;890;-2.229;-;-
03.06.2015;22:00;-;-;-;1.711;-2.234;-;-;-;-;512;-1;-;-;-;-;995;-1.554;-;-
03.06.2015;23:00;-;-;-;875;-2.075;-;-;-;-;475;-1;-;-;-;-;739;-1.018;-;-
04.06.2015;00:00;-;-;-;481;-2.421;-;-;-;-;437;-1;-;-;-;-;0;-0;-;-
04.06.2015;01:00;-;-;-;417;-2.024;-;-;-;-;417;-1;-;-;-;-;0;-0;-;-
04.06.2015;02:00;-;-;-;430;-2.017;-;-;-;-;410;-1;-;-;-;-;0;-0;-;-
04.06.2015;03:00;-;-;-;334;-2.362;-;-;-;-;413;-1;-;-;-;-;31;-0;-;-
04.06.2015;04:00;-;-;-;361;-2.460;-;-;-;-;418;-1;-;-;-;-;20;-99;-;-
04.06.2015;05:00;-;-;-;372;-2.148;-;-;-;-;430;-1;-;-;-;-;20;-410;-;-
04.06.2015;06:00;-;-;-;509;-2.088;-;-;-;-;443;-1;-;-;-;-;0;-0;-;-
04.06.2015;07:00;-;-;-;842;-2.028;-;-;-;-;491;-1;-;-;-;-;1.813;-372;-;-
04.06.2015;08:00;-;-;-;1.396;-924;-;-;-;-;530;-1;-;-;-;-;152;-0;-;-
04.06.2015;09:00;-;-;-;1.611;-588;-;-;-;-;540;-1;-;-;-;-;813;-0;-;-
04.06.2015;10:00;-;-;-;1.411;-410;-;-;-;-;543;-1;-;-;-;-;523;-0;-;-
04.06.2015;11:00;-;-;-;1.717;-315;-;-;-;-;559;-1;-;-;-;-;808;-0;-;-
04.06.2015;12:00;-;-;-;1.653;-207;-;-;-;-;538;-1;-;-;-;-;1.403;-0;-;-
04.06.2015;13:00;-;-;-;1.653;-53;-;-;-;-;522;-1;-;-;-;-;1.090;-0;-;-
04.06.2015;14:00;-;-;-;1.653;-53;-;-;-;-;516;-1;-;-;-;-;1.130;-0;-;-
