Datum;Uhrzeit;Gesamt[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige[MWh]
02.06.2017;00:00;52.477;47,75;669,75;0;49.697
02.06.2017;00:15;-;47,75;654,75;0;-
02.06.2017;00:30;-;48,25;638,25;0;-
02.06.2017;00:45;-;49,75;623,75;0;-
02.06.2017;01:00;48.948;48,25;608;0;46.417,5
02.06.2017;01:15;-;46;593;0;-
02.06.2017;01:30;-;45,75;578,75;0;-
02.06.2017;01:45;-;45,75;565;0;-
02.06.2017;02:00;46.988;46,75;558;0;44.628,5
02.06.2017;02:15;-;46,75;556;0;-
02.06.2017;02:30;-;48,25;537,75;0;-
02.06.2017;02:45;-;50,5;515,5;0;-
02.06.2017;03:00;46.368;52;502;0;44.266,25
02.06.2017;03:15;-;51,25;480,5;0;-
02.06.2017;03:30;-;53,5;461,5;0;-
02.06.2017;03:45;-;54,5;446,5;0;-
02.06.2017;04:00;46.454;55,75;425,5;0;44.611,25
02.06.2017;04:15;-;58;413;0;-
02.06.2017;04:30;-;60;393,25;0;-
02.06.2017;04:45;-;61,75;374,25;1,25;-
02.06.2017;05:00;48.555;63,75;353,5;9,75;46.711,25
02.06.2017;05:15;-;66,25;336,75;33,25;-
02.06.2017;05:30;-;68;321;72,75;-
02.06.2017;05:45;-;70,75;311,75;136,25;-
02.06.2017;06:00;57.337;72,5;294;223,5;54.128,5
02.06.2017;06:15;-;74,25;278,75;344,25;-
02.06.2017;06:30;-;76,5;264;516,5;-
02.06.2017;06:45;-;79,25;250,75;734,25;-
02.06.2017;07:00;65.567;81;238,25;983,25;58.669,5
02.06.2017;07:15;-;82;227,25;1.262,75;-
02.06.2017;07:30;-;83;208;1.567,75;-
02.06.2017;07:45;-;83,75;184,5;1.896;-
02.06.2017;08:00;74.716;84,25;159;2.242,25;62.765,25
02.06.2017;08:15;-;83;140,75;2.595,25;-
02.06.2017;08:30;-;82,5;126,5;2.948,75;-
02.06.2017;08:45;-;81,5;112;3.295;-
02.06.2017;09:00;81.070;79,75;96,75;3.627,25;64.096
02.06.2017;09:15;-;78,5;94,75;3.940;-
02.06.2017;09:30;-;77,25;84,75;4.232,5;-
02.06.2017;09:45;-;76,5;77,5;4.508,5;-
02.06.2017;10:00;86.562;73,5;86,5;4.767,25;65.535,5
02.06.2017;10:15;-;71,5;85,5;5.004,75;-
02.06.2017;10:30;-;70;84;5.219;-
02.06.2017;10:45;-;68;82,5;5.414;-
02.06.2017;11:00;89.831;66,25;81,5;5.582;66.132,25
02.06.2017;11:15;-;64,5;84,5;5.723,75;-
02.06.2017;11:30;-;63,25;88;5.846;-
02.06.2017;11:45;-;61,75;91,25;5.946;-
02.06.2017;12:00;91.263;60;95;6.022,5;66.382,5
02.06.2017;12:15;-;59,75;96,75;6.068,75;-
02.06.2017;12:30;-;59;99,25;6.084,25;-
02.06.2017;12:45;-;58;102,5;6.074,75;-
02.06.2017;13:00;89.516;57,5;104,75;6.039,25;65.077,75
02.06.2017;13:15;-;56,5;107,5;5.982,25;-
02.06.2017;13:30;-;54,75;111,5;5.914,75;-
02.06.2017;13:45;-;54;115;5.840,5;-
02.06.2017;14:00;86.148;51,25;120;5.746,25;63.185,25
02.06.2017;14:15;-;50,5;123,75;5.636,75;-
02.06.2017;14:30;-;49;128,25;5.511,25;-
02.06.2017;14:45;-;47;135;5.363,75;-
02.06.2017;15:00;82.643;46,5;139,75;5.200;62.210,75
02.06.2017;15:15;-;46;143,75;5.022;-
02.06.2017;15:30;-;44,5;147,5;4.828;-
02.06.2017;15:45;-;44;152;4.618,25;-
02.06.2017;16:00;77.464;44,25;155,75;4.394,5;60.553,5
02.06.2017;16:15;-;42,75;163,5;4.152,75;-
02.06.2017;16:30;-;41,75;169,5;3.898,5;-
02.06.2017;16:45;-;41,5;175,5;3.630,25;-
02.06.2017;17:00;72.167;40;182,5;3.349,75;59.584,5
02.06.2017;17:15;-;39,75;193,75;3.058;-
02.06.2017;17:30;-;40,25;205,75;2.758,75;-
02.06.2017;17:45;-;39,75;219,75;2.454,5;-
02.06.2017;18:00;67.255;39,5;234,25;2.148;59.235,75
02.06.2017;18:15;-;39,75;248,25;1.845,5;-
02.06.2017;18:30;-;39,75;263,25;1.554,75;-
02.06.2017;18:45;-;39,75;280,25;1.286,25;-
02.06.2017;19:00;63.150;40,5;301;1.038,25;58.601,25
02.06.2017;19:15;-;40,25;328,25;823,25;-
02.06.2017;19:30;-;39,75;355;642,25;-
02.06.2017;19:45;-;39,75;391;509,5;-
02.06.2017;20:00;59.910;39,75;426,75;362,75;56.932,25
02.06.2017;20:15;-;40,25;474,25;233,75;-
02.06.2017;20:30;-;40,75;523,5;139,75;-
02.06.2017;20:45;-;41,75;583,5;71;-
02.06.2017;21:00;58.002;43;651,25;27,25;54.822,5
02.06.2017;21:15;-;44;711,25;7,75;-
02.06.2017;21:30;-;45;773,25;1,75;-
02.06.2017;21:45;-;46,25;828,5;0,25;-
02.06.2017;22:00;57.826;46,5;886;0;53.736,25
02.06.2017;22:15;-;47,75;944;0;-
02.06.2017;22:30;-;49,25;1.003;0;-
02.06.2017;22:45;-;50;1.063,25;0;-
02.06.2017;23:00;56.055;51,5;1.117,75;0;51.179
02.06.2017;23:15;-;51,5;1.150,5;0;-
02.06.2017;23:30;-;52,5;1.183;0;-
02.06.2017;23:45;-;52,5;1.216,75;0;-
03.06.2017;00:00;52.118;35,25;1.368,5;0;46.537
03.06.2017;00:15;-;34;1.363;0;-
03.06.2017;00:30;-;34,75;1.358,25;0;-
03.06.2017;00:45;-;34,5;1.352,75;0;-
03.06.2017;01:00;48.694;35,5;1.347;0;43.221,25
03.06.2017;01:15;-;37,75;1.337,25;0;-
03.06.2017;01:30;-;35,75;1.327,5;0;-
03.06.2017;01:45;-;32,75;1.319,25;0;-
03.06.2017;02:00;47.722;33,5;1.625,5;0;41.079
03.06.2017;02:15;-;34;1.621,5;0;-
03.06.2017;02:30;-;33,5;1.635;0;-
03.06.2017;02:45;-;35,75;1.624,25;0;-
03.06.2017;03:00;46.504;38,75;1.581,75;0;40.017,25
03.06.2017;03:15;-;41,75;1.588,75;0;-
03.06.2017;03:30;-;41,75;1.582,5;0;-
03.06.2017;03:45;-;47,5;1.564;0;-
03.06.2017;04:00;46.236;50,75;1.552,25;0;39.915,25
03.06.2017;04:15;-;53,25;1.536,25;0;-
03.06.2017;04:30;-;56;1.516;0;-
03.06.2017;04:45;-;58;1.497;1,25;-
03.06.2017;05:00;45.683;61,25;1.472;9;39.502,75
03.06.2017;05:15;-;64,25;1.441;30,75;-
03.06.2017;05:30;-;67,75;1.402,5;70,75;-
03.06.2017;05:45;-;70,75;1.351,5;138,75;-
03.06.2017;06:00;48.429;74,75;1.300;232;41.423,75
03.06.2017;06:15;-;77;1.249,25;352,75;-
03.06.2017;06:30;-;80,5;1.199,25;508;-
03.06.2017;06:45;-;83,25;1.152,5;696;-
03.06.2017;07:00;53.700;86,5;1.101,25;905,75;44.128,75
03.06.2017;07:15;-;87,5;1.065;1.137,5;-
03.06.2017;07:30;-;90,5;1.008,5;1.390;-
03.06.2017;07:45;-;93;943;1.662,75;-
03.06.2017;08:00;59.513;93,5;879,75;1.949,25;46.361,25
03.06.2017;08:15;-;92;832,5;2.241,75;-
03.06.2017;08:30;-;91,25;782,5;2.537,5;-
03.06.2017;08:45;-;89,5;736;2.826,25;-
03.06.2017;09:00;65.555;88;701;3.105,5;48.634
03.06.2017;09:15;-;86,75;655,75;3.371;-
03.06.2017;09:30;-;85,25;638;3.624,75;-
03.06.2017;09:45;-;83,5;618;3.863,5;-
03.06.2017;10:00;69.865;92,75;688,25;4.084,25;49.341,5
03.06.2017;10:15;-;93,25;669,75;4.288,25;-
03.06.2017;10:30;-;92,25;655,25;4.472,75;-
03.06.2017;10:45;-;91,25;656;4.639,5;-
03.06.2017;11:00;72.870;91,5;659,5;4.783,5;49.972,25
03.06.2017;11:15;-;90;674,25;4.906,5;-
03.06.2017;11:30;-;89,25;688,75;5.014,75;-
03.06.2017;11:45;-;87,25;707,75;5.104,75;-
03.06.2017;12:00;74.468;85,25;726,25;5.177;50.182,25
03.06.2017;12:15;-;84,5;748,5;5.231;-
03.06.2017;12:30;-;83;771,25;5.255,75;-
03.06.2017;12:45;-;82,25;789,75;5.251,25;-
03.06.2017;13:00;73.432;80,5;807;5.218,5;49.335,25
03.06.2017;13:15;-;78,25;816,25;5.166,75;-
03.06.2017;13:30;-;76;826,5;5.096,75;-
03.06.2017;13:45;-;73;837,25;5.020;-
03.06.2017;14:00;70.685;70,75;843;4.925,5;48.096,5
03.06.2017;14:15;-;68,5;836,75;4.813,5;-
03.06.2017;14:30;-;67;829,75;4.691,5;-
03.06.2017;14:45;-;66;823;4.553,25;-
03.06.2017;15:00;66.946;65;819,5;4.404;46.942,5
03.06.2017;15:15;-;64,5;808,75;4.232;-
03.06.2017;15:30;-;63,5;798,25;4.046,5;-
03.06.2017;15:45;-;63;789,25;3.849,25;-
03.06.2017;16:00;63.117;63,75;778,5;3.642,25;46.737,25
03.06.2017;16:15;-;64,75;767,5;3.393,75;-
03.06.2017;16:30;-;64,75;757,75;3.141;-
03.06.2017;16:45;-;64,75;751,25;2.889,75;-
03.06.2017;17:00;58.875;64,75;744;2.633,5;46.640
03.06.2017;17:15;-;64,25;737,5;2.384;-
03.06.2017;17:30;-;62,5;730,75;2.133,75;-
03.06.2017;17:45;-;61;726,25;1.892,75;-
03.06.2017;18:00;56.575;61,5;724,25;1.657;48.079,75
03.06.2017;18:15;-;62,25;725,75;1.435,25;-
03.06.2017;18:30;-;63,25;727;1.223;-
03.06.2017;18:45;-;64,25;729;1.022,75;-
