Datum;Uhrzeit;Gesamt[MWh]
01.06.2015;00:00;9.801
01.06.2015;00:15;9.705,5
01.06.2015;00:30;9.574,5
01.06.2015;00:45;9.509,25
01.06.2015;01:00;9.400
01.06.2015;01:15;9.323,25
01.06.2015;01:30;9.316,75
01.06.2015;01:45;9.290,25
01.06.2015;02:00;9.260
01.06.2015;02:15;9.209
01.06.2015;02:30;9.231,5
01.06.2015;02:45;9.188,75
01.06.2015;03:00;9.235,5
01.06.2015;03:15;9.251,25
01.06.2015;03:30;9.339
01.06.2015;03:45;9.313,5
01.06.2015;04:00;9.455,25
01.06.2015;04:15;9.566,5
01.06.2015;04:30;9.687,75
01.06.2015;04:45;9.849,25
01.06.2015;05:00;10.150,75
01.06.2015;05:15;10.295,25
01.06.2015;05:30;10.581,25
01.06.2015;05:45;11.018,5
01.06.2015;06:00;11.861,25
01.06.2015;06:15;12.407
01.06.2015;06:30;12.983
01.06.2015;06:45;13.363
01.06.2015;07:00;13.787,25
01.06.2015;07:15;14.150,75
01.06.2015;07:30;14.444
01.06.2015;07:45;14.644,75
01.06.2015;08:00;14.922,25
01.06.2015;08:15;15.037,5
01.06.2015;08:30;15.214,75
01.06.2015;08:45;15.237,75
01.06.2015;09:00;15.177,5
01.06.2015;09:15;15.285,5
01.06.2015;09:30;15.414
01.06.2015;09:45;15.526,25
01.06.2015;10:00;15.578
01.06.2015;10:15;15.644
01.06.2015;10:30;15.750,5
01.06.2015;10:45;15.873,5
01.06.2015;11:00;15.960,25
01.06.2015;11:15;16.137,5
01.06.2015;11:30;16.127,5
01.06.2015;11:45;16.200,25
01.06.2015;12:00;15.973
01.06.2015;12:15;15.996,75
01.06.2015;12:30;15.954,75
01.06.2015;12:45;15.932,25
01.06.2015;13:00;15.987,75
01.06.2015;13:15;15.907,5
01.06.2015;13:30;15.752,75
01.06.2015;13:45;15.709,5
01.06.2015;14:00;15.638,5
01.06.2015;14:15;15.627
01.06.2015;14:30;15.579,5
01.06.2015;14:45;15.506,75
01.06.2015;15:00;15.549,75
01.06.2015;15:15;15.447,25
01.06.2015;15:30;15.355,25
01.06.2015;15:45;15.194,5
01.06.2015;16:00;15.114,75
01.06.2015;16:15;14.967,5
01.06.2015;16:30;14.902,75
01.06.2015;16:45;14.912,5
01.06.2015;17:00;14.832
01.06.2015;17:15;14.921,75
01.06.2015;17:30;14.838
01.06.2015;17:45;14.933
01.06.2015;18:00;14.832,25
01.06.2015;18:15;14.753,75
01.06.2015;18:30;14.835,75
01.06.2015;18:45;14.793,5
01.06.2015;19:00;14.679,5
01.06.2015;19:15;14.615,75
01.06.2015;19:30;14.596,75
01.06.2015;19:45;14.511,25
01.06.2015;20:00;14.436,5
01.06.2015;20:15;14.221,25
01.06.2015;20:30;14.032
01.06.2015;20:45;13.880,5
01.06.2015;21:00;13.857,5
01.06.2015;21:15;13.850,25
01.06.2015;21:30;13.785
01.06.2015;21:45;13.617,75
01.06.2015;22:00;13.460
01.06.2015;22:15;13.269,25
01.06.2015;22:30;12.978
01.06.2015;22:45;12.665,75
01.06.2015;23:00;12.348,25
01.06.2015;23:15;11.985
01.06.2015;23:30;11.734,75
01.06.2015;23:45;11.449,75
02.06.2015;00:00;11.020,5
02.06.2015;00:15;10.847,25
02.06.2015;00:30;10.725,5
02.06.2015;00:45;8.825,75
02.06.2015;01:00;10.457,25
02.06.2015;01:15;10.361
02.06.2015;01:30;10.307,25
02.06.2015;01:45;10.215,25
02.06.2015;02:00;10.139,5
02.06.2015;02:15;10.084,75
02.06.2015;02:30;10.110,25
02.06.2015;02:45;10.103,5
02.06.2015;03:00;10.124,75
02.06.2015;03:15;10.059,5
02.06.2015;03:30;10.163,75
02.06.2015;03:45;10.193
02.06.2015;04:00;10.248,75
02.06.2015;04:15;10.404
02.06.2015;04:30;10.520,5
02.06.2015;04:45;10.656,5
02.06.2015;05:00;10.932,5
02.06.2015;05:15;11.030,25
02.06.2015;05:30;11.285
02.06.2015;05:45;11.630
02.06.2015;06:00;12.384,25
02.06.2015;06:15;12.898,75
02.06.2015;06:30;13.395,5
02.06.2015;06:45;13.684,25
02.06.2015;07:00;14.127,25
02.06.2015;07:15;14.330,75
02.06.2015;07:30;14.583
02.06.2015;07:45;14.801,5
02.06.2015;08:00;15.065,25
02.06.2015;08:15;15.168,5
02.06.2015;08:30;15.266,75
02.06.2015;08:45;15.345,25
02.06.2015;09:00;15.252,75
02.06.2015;09:15;15.401,75
02.06.2015;09:30;15.493,25
02.06.2015;09:45;15.581,75
02.06.2015;10:00;15.646,75
02.06.2015;10:15;15.717,75
02.06.2015;10:30;15.837
