Datum;Uhrzeit;Physikalischer Nettoexport[MWh];Niederlande (Export)[MWh];Niederlande (Import)[MWh];Schweiz (Export)[MWh];Schweiz (Import)[MWh];Dänemark (Export)[MWh];Dänemark (Import)[MWh];Tschechien (Export)[MWh];Tschechien (Import)[MWh];Luxemburg (Export)[MWh];Luxemburg (Import)[MWh];Schweden (Export)[MWh];Schweden (Import)[MWh];Österreich (Export)[MWh];Österreich (Import)[MWh];Frankreich (Export)[MWh];Frankreich (Import)[MWh];Polen (Export)[MWh];Polen (Import)[MWh]
01.05.2019;00:00;-1.737;2.381;-8;15;-199;1;-818;0;-1.411;289;-0;0;-147;454;-780;0;-1.851;337;-0
01.05.2019;01:00;-1.515;2.926;-0;32;-397;64;-373;0;-1.721;221;-0;0;-147;444;-831;0;-1.872;140;-1
01.05.2019;02:00;-1.091;3.257;-0;6;-140;86;-284;0;-1.694;201;-0;0;-147;262;-791;0;-2.019;172;-0
01.05.2019;03:00;-1.911;3.153;-0;3;-140;426;-234;0;-1.829;232;-0;0;-147;127;-884;0;-2.769;151;-0
01.05.2019;04:00;-2.228;3.072;-0;8;-106;251;-344;0;-1.793;248;-0;0;-147;289;-808;0;-3.009;114;-3
01.05.2019;05:00;-871;3.936;-0;253;-131;294;-440;0;-1.722;288;-0;0;-147;109;-847;0;-2.597;142;-9
01.05.2019;06:00;-213;4.019;-0;294;-255;628;-307;0;-1.458;201;-0;0;-99;141;-908;0;-2.767;299;-1
01.05.2019;07:00;523;4.113;-0;96;-235;714;-81;0;-1.433;210;-0;0;-98;192;-743;0;-2.553;341;-0
01.05.2019;08:00;2.272;4.677;-0;96;-58;253;-220;0;-1.186;244;-0;0;-59;318;-379;0;-1.986;572;-0
01.05.2019;09:00;3.541;4.690;-0;454;-30;422;-379;0;-943;269;-0;1;-0;410;-268;0;-1.820;735;-0
01.05.2019;10:00;5.897;5.074;-0;678;-0;352;-71;0;-691;343;-0;3;-0;491;-105;214;-1.200;809;-0
01.05.2019;11:00;6.548;4.984;-0;849;-0;290;-195;1;-501;368;-0;3;-0;558;-18;341;-1.049;917;-0
01.05.2019;12:00;7.318;4.259;-0;941;-2;90;-25;208;-233;412;-0;118;-0;735;-0;405;-703;1.113;-0
01.05.2019;13:00;7.609;4.109;-0;848;-17;356;-0;431;-202;368;-0;72;-0;758;-0;322;-608;1.172;-0
01.05.2019;14:00;8.309;4.035;-0;873;-14;682;-0;676;-162;366;-0;70;-0;902;-0;140;-636;1.377;-0
01.05.2019;15:00;6.632;4.005;-0;741;-258;356;-0;631;-207;301;-0;70;-0;723;-57;7;-977;1.297;-0
01.05.2019;16:00;5.960;3.966;-0;632;-172;324;-0;535;-248;318;-0;70;-0;635;-25;0;-1.267;1.192;-0
01.05.2019;17:00;4.463;4.053;-0;287;-94;346;-0;328;-343;298;-0;4;-0;599;-42;0;-2.023;1.050;-0
01.05.2019;18:00;2.147;3.924;-0;69;-219;276;-1;288;-669;256;-0;2;-0;307;-262;0;-2.660;836;-0
01.05.2019;19:00;70;3.943;-0;0;-903;15;-341;269;-864;297;-0;0;-93;53;-563;0;-2.455;712;-0
01.05.2019;20:00;63;3.651;-0;0;-907;3;-665;525;-702;277;-0;0;-98;133;-414;0;-2.688;948;-0
01.05.2019;21:00;339;3.587;-0;0;-819;17;-481;426;-802;310;-0;0;-2;173;-541;0;-2.324;795;-0
01.05.2019;22:00;1.372;3.536;-0;0;-564;46;-549;496;-817;408;-0;0;-139;270;-482;0;-1.646;813;-0
01.05.2019;23:00;2.666;3.765;-0;193;-97;22;-815;499;-890;450;-0;0;-147;166;-368;0;-915;803;-0
02.05.2019;00:00;3.675;3.665;-0;938;-82;28;-825;519;-959;432;-0;0;-196;276;-357;0;-597;833;-0
02.05.2019;01:00;4.224;3.251;-0;1.442;-0;53;-684;465;-1.024;443;-0;0;-197;250;-418;9;-115;749;-0
02.05.2019;02:00;3.338;2.932;-0;1.405;-54;56;-721;400;-1.056;393;-0;0;-197;324;-374;0;-335;565;-0
02.05.2019;03:00;3.010;2.703;-0;1.334;-157;66;-674;524;-929;380;-0;0;-197;401;-296;0;-852;707;-0
02.05.2019;04:00;2.941;2.703;-0;1.130;-59;91;-589;525;-879;370;-0;0;-197;524;-244;0;-1.136;702;-0
02.05.2019;05:00;3.645;2.953;-0;966;-28;160;-585;671;-1.025;441;-0;0;-197;531;-220;0;-914;892;-0
02.05.2019;06:00;-546;894;-0;0;-306;157;-585;781;-803;399;-0;0;-102;110;-341;0;-1.742;992;-0
02.05.2019;07:00;316;997;-0;0;-1.389;93;-579;772;-196;492;-0;0;-98;328;-261;33;-1.189;1.313;-0
02.05.2019;08:00;2.424;2.109;-0;44;-1.504;31;-401;509;-0;598;-0;0;-98;498;-243;590;-860;1.151;-0
02.05.2019;09:00;3.696;2.412;-0;4;-987;92;-335;421;-0;624;-0;0;-98;609;-109;737;-573;899;-0
02.05.2019;10:00;4.945;2.222;-0;21;-306;202;-335;552;-0;635;-0;0;-98;868;-0;673;-411;922;-0
02.05.2019;11:00;7.510;2.749;-0;546;-0;56;-337;816;-0;689;-0;0;-98;1.198;-0;780;-61;1.172;-0
02.05.2019;12:00;8.315;2.720;-0;982;-0;53;-345;795;-0;674;-0;0;-98;1.438;-0;929;-0;1.167;-0
02.05.2019;13:00;8.616;2.677;-0;1.195;-0;42;-324;701;-0;682;-0;0;-98;1.705;-0;906;-0;1.130;-0
02.05.2019;14:00;7.635;2.410;-0;1.039;-0;48;-336;681;-0;677;-0;0;-98;1.474;-0;639;-0;1.101;-0
02.05.2019;15:00;6.869;2.437;-0;947;-0;1;-381;627;-0;683;-0;0;-98;1.286;-0;373;-16;1.010;-0
02.05.2019;16:00;5.516;2.189;-0;463;-1;5;-367;695;-0;622;-0;0;-98;1.222;-0;16;-383;1.153;-0
02.05.2019;17:00;2.656;1.033;-0;226;-81;0;-592;661;-0;553;-0;0;-98;1.114;-6;0;-1.386;1.232;-0
02.05.2019;18:00;505;762;-0;0;-898;0;-941;530;-0;540;-0;0;-98;782;-206;0;-1.401;1.435;-0
02.05.2019;19:00;-1.489;978;-0;0;-1.755;0;-1.157;322;-0;528;-0;0;-98;336;-412;0;-1.604;1.373;-0
02.05.2019;20:00;-1.675;933;-0;0;-1.766;0;-1.186;452;-0;487;-0;0;-98;328;-450;0;-1.940;1.565;-0
02.05.2019;21:00;-223;1.138;-0;0;-1.187;0;-876;381;-0;481;-0;0;-98;362;-282;0;-1.817;1.675;-0
02.05.2019;22:00;2.670;1.742;-0;111;-248;0;-1.136;511;-0;587;-0;0;-146;562;-116;0;-947;1.750;-0
02.05.2019;23:00;4.336;1.728;-0;767;-66;15;-893;303;-0;594;-0;0;-147;595;-48;118;-234;1.604;-0
03.05.2019;00:00;4.662;2.495;-0;890;-153;38;-752;15;-96;545;-0;0;-147;565;-72;61;-289;1.562;-0
03.05.2019;01:00;3.110;1.564;-0;946;-197;75;-607;0;-155;425;-0;0;-147;531;-85;0;-697;1.457;-0
03.05.2019;02:00;2.691;1.378;-0;900;-155;102;-590;1;-114;424;-0;0;-147;518;-83;0;-994;1.451;-0
03.05.2019;03:00;1.990;1.187;-0;861;-110;205;-253;0;-287;405;-0;0;-147;496;-151;0;-1.464;1.248;-0
03.05.2019;04:00;1.152;980;-7;680;-253;218;-229;0;-416;392;-0;0;-147;560;-196;0;-1.615;1.185;-0
03.05.2019;05:00;904;773;-84;560;-115;242;-5;0;-691;436;-0;0;-5;516;-293;0;-1.310;880;-0
03.05.2019;06:00;-634;371;-260;200;-151;78;-232;0;-551;480;-0;0;-94;382;-436;0;-1.336;915;-0
03.05.2019;07:00;-1.189;787;-0;0;-1.407;5;-535;0;-464;549;-0;0;-98;465;-658;49;-790;908;-0
03.05.2019;08:00;-704;1.351;-0;0;-1.670;3;-839;0;-270;596;-0;0;-98;152;-575;35;-659;1.270;-0
03.05.2019;09:00;-277;1.724;-0;0;-2.131;2;-873;220;-6;571;-0;0;-98;199;-450;0;-971;1.536;-0
03.05.2019;10:00;697;1.624;-0;0;-1.798;19;-540;333;-0;602;-0;0;-98;275;-435;0;-722;1.437;-0
