Datum;Uhrzeit;Gesamt[MWh]
01.06.2015;00:00;10.222,5
01.06.2015;00:15;10.067,75
01.06.2015;00:30;9.914
01.06.2015;00:45;9.704,5
01.06.2015;01:00;9.672,25
01.06.2015;01:15;9.556
01.06.2015;01:30;9.454,25
01.06.2015;01:45;9.400,75
01.06.2015;02:00;9.322,5
01.06.2015;02:15;9.320,75
01.06.2015;02:30;9.334,25
01.06.2015;02:45;9.294,5
01.06.2015;03:00;9.305
01.06.2015;03:15;9.285,75
01.06.2015;03:30;9.276,5
01.06.2015;03:45;9.311,5
01.06.2015;04:00;9.404,25
01.06.2015;04:15;9.464,5
01.06.2015;04:30;9.567,5
01.06.2015;04:45;9.712,75
01.06.2015;05:00;10.009,5
01.06.2015;05:15;10.301,25
01.06.2015;05:30;10.687,25
01.06.2015;05:45;11.003,5
01.06.2015;06:00;11.790
01.06.2015;06:15;12.341
01.06.2015;06:30;12.673,5
01.06.2015;06:45;12.981,5
01.06.2015;07:00;13.473
01.06.2015;07:15;13.810
01.06.2015;07:30;14.117,75
01.06.2015;07:45;14.364,25
01.06.2015;08:00;14.651,5
01.06.2015;08:15;14.804
01.06.2015;08:30;15.018,5
01.06.2015;08:45;15.145,5
01.06.2015;09:00;15.135,25
01.06.2015;09:15;15.221,5
01.06.2015;09:30;15.364,75
01.06.2015;09:45;15.552,5
01.06.2015;10:00;15.655
01.06.2015;10:15;15.681,5
01.06.2015;10:30;15.765,25
01.06.2015;10:45;15.915
01.06.2015;11:00;15.933,25
01.06.2015;11:15;16.059,25
01.06.2015;11:30;16.193,75
01.06.2015;11:45;16.152
01.06.2015;12:00;16.152,75
01.06.2015;12:15;16.149,25
01.06.2015;12:30;16.099,75
01.06.2015;12:45;16.094,5
01.06.2015;13:00;16.098
01.06.2015;13:15;16.034
01.06.2015;13:30;15.867,5
01.06.2015;13:45;15.824,5
01.06.2015;14:00;15.794,25
01.06.2015;14:15;15.871,5
01.06.2015;14:30;15.787
01.06.2015;14:45;15.703
01.06.2015;15:00;15.661
01.06.2015;15:15;15.551
01.06.2015;15:30;15.383,5
01.06.2015;15:45;15.156
01.06.2015;16:00;15.048
01.06.2015;16:15;14.934,5
01.06.2015;16:30;14.828,5
01.06.2015;16:45;14.825,75
01.06.2015;17:00;14.788
01.06.2015;17:15;14.792,75
01.06.2015;17:30;14.818,25
01.06.2015;17:45;14.799
01.06.2015;18:00;14.616,25
01.06.2015;18:15;14.566,5
01.06.2015;18:30;14.583,5
01.06.2015;18:45;14.617,25
01.06.2015;19:00;14.594
01.06.2015;19:15;14.474,25
01.06.2015;19:30;14.421,25
01.06.2015;19:45;14.390,25
01.06.2015;20:00;14.249
01.06.2015;20:15;14.066,75
01.06.2015;20:30;13.885
01.06.2015;20:45;13.816,5
01.06.2015;21:00;13.766
01.06.2015;21:15;13.607,25
01.06.2015;21:30;13.506,5
01.06.2015;21:45;13.435,5
01.06.2015;22:00;13.417,5
01.06.2015;22:15;13.207,75
01.06.2015;22:30;12.869,25
01.06.2015;22:45;12.551
01.06.2015;23:00;12.177,75
01.06.2015;23:15;11.857,5
01.06.2015;23:30;11.591
01.06.2015;23:45;11.346,5
02.06.2015;00:00;11.162,25
02.06.2015;00:15;10.973,5
02.06.2015;00:30;10.755,5
02.06.2015;00:45;10.585
02.06.2015;01:00;10.417
02.06.2015;01:15;10.369
02.06.2015;01:30;10.298
02.06.2015;01:45;10.214,75
02.06.2015;02:00;10.150,5
02.06.2015;02:15;10.102,75
02.06.2015;02:30;10.101,25
02.06.2015;02:45;10.159,25
02.06.2015;03:00;10.145,5
02.06.2015;03:15;10.280,75
02.06.2015;03:30;10.254
02.06.2015;03:45;10.295
02.06.2015;04:00;10.312,5
02.06.2015;04:15;10.294,75
02.06.2015;04:30;10.492,25
02.06.2015;04:45;10.612
02.06.2015;05:00;10.850,5
02.06.2015;05:15;11.007,5
02.06.2015;05:30;11.327,25
02.06.2015;05:45;11.606
02.06.2015;06:00;12.281,75
02.06.2015;06:15;12.616
02.06.2015;06:30;13.029
