Datum;Uhrzeit;Physikalischer Nettoexport[MWh];Niederlande (Export)[MWh];Niederlande (Import)[MWh];Schweiz (Export)[MWh];Schweiz (Import)[MWh];Dänemark (Export)[MWh];Dänemark (Import)[MWh];Tschechien (Export)[MWh];Tschechien (Import)[MWh];Luxemburg (Export)[MWh];Luxemburg (Import)[MWh];Schweden (Export)[MWh];Schweden (Import)[MWh];Österreich (Export)[MWh];Österreich (Import)[MWh];Frankreich (Export)[MWh];Frankreich (Import)[MWh];Polen (Export)[MWh];Polen (Import)[MWh]
03.06.2019;00:00;1.219;2.189;-0;363;-4;104;-586;211;-742;396;-0;0;-140;472;-638;0;-1.440;1.034;-0
03.06.2019;01:00;724;1.463;-0;657;-0;437;-585;109;-723;365;-0;0;-148;617;-436;0;-1.911;879;-0
03.06.2019;02:00;-692;793;-0;641;-0;88;-603;58;-719;337;-0;0;-6;694;-466;0;-2.369;860;-0
03.06.2019;03:00;-2.125;381;-0;499;-0;125;-596;0;-945;337;-0;2;-0;588;-505;0;-2.618;607;-0
03.06.2019;04:00;-2.764;193;-7;503;-2;25;-652;0;-888;352;-0;0;-168;482;-467;0;-2.757;622;-0
03.06.2019;05:00;-3.330;172;-200;723;-58;15;-731;1;-1.162;391;-0;0;-231;566;-641;0;-2.902;727;-0
03.06.2019;06:00;-5.490;1;-1.699;147;-46;0;-1.254;80;-992;458;-0;0;-16;210;-582;0;-2.982;1.185;-0
03.06.2019;07:00;-5.410;0;-1.856;0;-591;0;-793;97;-794;526;-0;2;-0;277;-333;0;-3.146;1.201;-0
03.06.2019;08:00;-3.504;0;-1.051;26;-616;172;-519;12;-581;562;-0;2;-0;367;-273;0;-2.745;1.140;-0
03.06.2019;09:00;-1.427;141;-624;101;-474;148;-304;121;-378;575;-0;3;-0;454;-42;0;-2.153;1.005;-0
03.06.2019;10:00;935;140;-795;468;-0;370;-31;264;-261;588;-0;3;-0;1.022;-8;0;-1.878;1.053;-0
03.06.2019;11:00;3.009;297;-636;1.117;-0;340;-2;505;-115;601;-0;3;-0;1.440;-0;0;-1.634;1.093;-0
03.06.2019;12:00;4.528;619;-579;1.058;-0;540;-0;717;-6;572;-0;2;-0;1.603;-0;38;-1.155;1.119;-0
03.06.2019;13:00;4.058;674;-587;850;-0;647;-0;652;-0;558;-0;3;-0;1.422;-0;0;-1.211;1.050;-0
03.06.2019;14:00;3.856;128;-636;1.058;-0;984;-0;710;-0;560;-0;3;-0;1.925;-0;0;-1.981;1.105;-0
03.06.2019;15:00;1.626;0;-1.156;939;-0;393;-26;725;-0;571;-0;3;-0;1.993;-0;0;-2.944;1.128;-0
03.06.2019;16:00;-176;0;-1.649;622;-0;85;-40;729;-0;567;-0;3;-0;1.669;-0;0;-3.351;1.189;-0
03.06.2019;17:00;-3.423;0;-1.615;0;-624;31;-146;324;-78;560;-0;3;-0;511;-114;0;-3.446;1.171;-0
03.06.2019;18:00;-5.549;0;-1.852;0;-1.446;1;-733;312;-120;573;-0;3;-0;451;-373;0;-3.453;1.088;-0
03.06.2019;19:00;-6.068;13;-929;0;-1.841;0;-1.464;322;-215;573;-0;0;-173;255;-626;0;-3.204;1.221;-0
03.06.2019;20:00;-7.244;22;-1.215;0;-1.865;0;-1.652;314;-244;550;-0;0;-304;178;-730;0;-3.550;1.252;-0
03.06.2019;21:00;-7.339;0;-1.381;0;-1.702;0;-1.347;131;-355;537;-0;0;-288;287;-914;0;-3.556;1.249;-0
03.06.2019;22:00;-6.925;323;-1.165;0;-1.830;0;-1.364;1;-505;522;-0;0;-0;162;-973;0;-3.256;1.160;-0
03.06.2019;23:00;-5.420;551;-1.139;0;-1.034;0;-1.191;0;-699;488;-0;0;-0;47;-649;0;-2.767;973;-0
04.06.2019;00:00;-6.066;32;-1.266;54;-58;0;-802;0;-1.080;453;-0;0;-446;274;-516;0;-3.331;620;-0
04.06.2019;01:00;-8.783;0;-2.400;0;-292;0;-660;0;-1.358;434;-0;0;-446;220;-654;0;-4.035;408;-0
04.06.2019;02:00;-8.464;0;-2.376;0;-198;0;-413;0;-1.324;428;-0;0;-446;246;-591;0;-4.170;380;-0
