Datum;Uhrzeit;Deutschland/Luxemburg[Euro/MWh];Dänemark 1[Euro/MWh];Dänemark 2[Euro/MWh];Frankreich[Euro/MWh];Italien (Nord)[Euro/MWh];Niederlande[Euro/MWh];Polen[Euro/MWh];Schweden 4[Euro/MWh];Schweiz[Euro/MWh];Slowenien[Euro/MWh];Tschechien[Euro/MWh];Ungarn[Euro/MWh];Österreich[Euro/MWh];Deutschland/Österreich/Luxemburg[Euro/MWh]
01.06.2015;00:00;-;12,97;12,97;18,4;49,02;40,5;-;12,97;21,14;15,98;18,3;21,04;-;13,42
01.06.2015;01:00;-;11,56;11,56;14,53;44,52;14,53;-;11,56;17,23;14,1;17,5;17,5;-;14,53
01.06.2015;02:00;-;9,83;9,83;14,39;40,83;28,78;-;9,83;16,71;12,5;16,5;16,5;-;11,16
01.06.2015;03:00;-;9,82;9,82;14,51;40,83;14,51;-;9,82;16,2;11,5;16,2;16,2;-;14,51
01.06.2015;04:00;-;10,54;10,54;14;42,08;14;-;10,54;17,79;12,56;17;17;-;14
01.06.2015;05:00;-;14,98;14,98;15,91;46;15,91;-;14,98;21,76;17,27;20,9;20,9;-;15,91
01.06.2015;06:00;-;20,01;20,01;24,03;48,43;27,11;29,65;20,01;30,07;48,43;32,25;40,32;-;25,95
01.06.2015;07:00;-;23,32;31,86;26,98;49;45,63;35,59;31,86;38,46;45;39,6;45;-;34,52
01.06.2015;08:00;-;23,42;37,07;31,95;51,49;49,32;38,73;37,07;39,5;45;40,8;45,91;-;37,98
01.06.2015;09:00;-;21,94;36,95;32,93;50,43;55,9;40,55;36,95;40,04;45;39,99;45,03;-;37,86
01.06.2015;10:00;-;21,68;39,01;35,96;47,93;58,75;42,06;39,01;40,75;39,3;38,5;44,19;-;39,01
01.06.2015;11:00;-;21,18;38,92;46,68;46,68;71,74;41,45;38,92;39,56;38,73;39;43,71;-;38,92
01.06.2015;12:00;-;21,09;37,86;44,47;44,47;58,92;41,38;37,86;37;44,47;37,99;44,82;-;38,79
01.06.2015;13:00;-;20,97;39,72;41,33;41,33;45,43;40,49;39,72;35,86;41,33;37,74;40,06;-;39,72
01.06.2015;14:00;-;21,18;37,28;44,52;44,52;54;40,06;37,28;35,13;37;35,88;40,32;-;38,2
01.06.2015;15:00;-;21,39;34,89;33,96;48;51,28;41,32;34,89;33,98;37;35,79;40,55;-;35,75
01.06.2015;16:00;-;21,05;34,87;27,95;50,93;49,04;43,88;34,87;33,9;37;36;47,23;-;35,73
01.06.2015;17:00;-;21,09;39,22;33,34;49,52;49;39,22;39,22;35,97;49,52;38,1;45,92;-;39,22
01.06.2015;18:00;-;23,09;40,59;41,92;53,77;44,96;40,59;40,59;37,92;51,3;39,5;47,3;-;40,59
01.06.2015;19:00;-;38,94;42,93;46,34;54,28;53,09;42,93;42,93;39,17;54,28;41,2;54,06;-;43,98
01.06.2015;20:00;-;37,97;41,65;41,65;63;45,05;41,65;41,65;37,08;39,98;43,7;55,86;-;41,65
01.06.2015;21:00;-;30,59;37,23;33,99;70,3;42,44;40,83;37,23;36,97;70,3;40;54,06;-;37,23
01.06.2015;22:00;-;30,15;36,09;39,26;61,07;49,94;37,57;36,09;35,66;61,07;35,6;54,06;-;36,98
01.06.2015;23:00;-;10,17;28,22;24,94;50,09;39,96;34,21;28,22;32;37;31,7;44,97;-;28,91
02.06.2015;00:00;-;16,9;16,9;23,2;49,86;27,11;-;16,9;26,06;23,7;28,5;31,31;-;24,24
02.06.2015;01:00;-;12,14;12,14;20,46;44,26;28,23;-;12,14;24,58;23,7;25,41;25,41;-;22,05
02.06.2015;02:00;-;9,99;9,99;20,37;43,24;20,37;-;9,99;23,17;22,14;23,2;23,2;-;20,37
02.06.2015;03:00;-;8,51;8,51;16,75;43,24;16,75;-;8,51;21,67;20,76;21,8;21,8;-;16,75
02.06.2015;04:00;-;8;8;16;43,02;16;-;8;20,84;20,8;22;22;-;16
02.06.2015;05:00;-;11,15;11,15;17,73;43,72;17,73;-;11,15;21,56;20,96;23;23,09;-;17,73
02.06.2015;06:00;-;18,55;18,55;23,62;42,03;24,19;35,55;18,55;25,85;42,03;29,3;44,9;-;24,33
02.06.2015;07:00;-;20,16;20,63;28,34;43,02;36;38,74;20,63;33,49;43,02;34,3;49,56;-;30,75
02.06.2015;08:00;-;20,26;23,16;27,79;41,29;40,28;49;23,16;33,49;41,29;35,2;54,06;-;31,72
02.06.2015;09:00;-;20;24,71;25,81;39,03;57,44;49,23;24,71;29,57;39,03;32,9;51,81;-;27,67
02.06.2015;10:00;-;19,94;24,23;22,16;35;57,44;46,21;24,23;26,52;35;28,7;49,56;-;24,23
