Datum;Uhrzeit;Deutschland/Luxemburg[Euro/MWh];Dänemark 1[Euro/MWh];Dänemark 2[Euro/MWh];Frankreich[Euro/MWh];Italien (Nord)[Euro/MWh];Niederlande[Euro/MWh];Polen[Euro/MWh];Schweden 4[Euro/MWh];Schweiz[Euro/MWh];Slowenien[Euro/MWh];Tschechien[Euro/MWh];Ungarn[Euro/MWh];Österreich[Euro/MWh];Deutschland/Österreich/Luxemburg[Euro/MWh]
03.06.2019;00:00;26,57;26,57;26,57;26,61;-;26,8;-;25,93;23,31;26,58;21,11;21,11;26,58;-
03.06.2019;01:00;23,34;23,34;23,34;23,34;-;23,51;-;22,78;19,45;23,36;16,4;16,4;23,36;-
03.06.2019;02:00;20,78;20,78;20,78;20,78;-;20,78;-;20,78;18,14;20,78;15,49;15,49;20,78;-
03.06.2019;03:00;19,97;19,97;19,97;17,71;-;19,84;-;19,97;15,97;19,97;15,63;15,63;19,97;-
03.06.2019;04:00;19,64;19,64;19,64;14,51;-;19,33;-;19,17;20,04;19,64;19,59;19,59;19,64;-
03.06.2019;05:00;24,04;24,04;24,04;21,16;-;23,87;-;24,04;28,07;24,04;25,03;25,03;24,04;-
03.06.2019;06:00;40,62;40,62;40,62;22,24;-;39,22;-;40,62;36,7;40,62;36,17;36,17;40,62;-
03.06.2019;07:00;44,92;44,92;44,92;41,46;-;44,64;-;44,92;42,74;44,92;43,37;44,2;44,92;-
03.06.2019;08:00;45,02;45,02;45,02;45,02;-;45,02;-;45,02;43,3;45,02;42,9;43,86;45,02;-
03.06.2019;09:00;41,81;41,81;41,81;41,81;-;41,81;-;41,81;41,78;41,81;40,26;41,59;41,81;-
03.06.2019;10:00;39,36;39,36;39,36;39,36;-;39,36;-;39,36;39,69;39,36;38,24;39,85;39,36;-
03.06.2019;11:00;37,71;37,71;37,71;37,71;-;37,71;-;37,71;39,08;37,71;37,81;40,01;37,71;-
03.06.2019;12:00;36,25;36,25;36,25;36,25;-;36,25;-;36,25;37,61;36,25;37,63;40,94;36,25;-
03.06.2019;13:00;35,46;35,46;35,46;35,46;-;35,46;-;35,46;36,05;41,63;35,28;40,34;35,46;-
03.06.2019;14:00;35,23;35,23;35,23;35,23;-;35,23;-;35,23;34,89;36,9;34,9;40,01;35,23;-
03.06.2019;15:00;35,68;35,68;35,68;35,68;-;35,68;-;35,68;35,8;44,1;35,1;39,86;35,68;-
03.06.2019;16:00;35,69;35,69;35,69;35,69;-;35,69;-;35,69;37,23;36,1;37,2;40,44;35,69;-
03.06.2019;17:00;42,97;42,97;42,97;38,13;-;42,1;-;42,97;40,85;42,97;42,7;42,97;42,97;-
03.06.2019;18:00;45,42;45,42;45,42;45,42;-;45,42;-;45,42;43,7;45,42;46,73;47,56;45,42;-
03.06.2019;19:00;50,5;50,5;50,5;50,5;-;50,5;-;49,29;46,05;50,5;49;51,48;50,5;-
03.06.2019;20:00;48,98;48,98;48,98;48,91;-;48,98;-;47,81;45,96;57,06;50,43;56,54;48,97;-
03.06.2019;21:00;48,35;48,35;48,35;44,94;-;48,12;-;47,19;45,19;47,9;48,45;51,07;47,9;-
03.06.2019;22:00;45,96;45,96;45,96;45,96;-;45,96;-;44,86;41,93;45,96;43,69;44,43;45,96;-
03.06.2019;23:00;41,4;41,4;41,4;41,4;-;41,4;-;40,41;38,99;41,4;38,48;38,48;41,4;-
04.06.2019;00:00;34,74;34,74;34,74;34,74;-;34,74;-;2,91;37,78;34,74;35,8;35,8;34,74;-
04.06.2019;01:00;32,99;32,99;32,99;32,99;-;32,99;-;3;34,77;32,99;34,34;34,34;32,99;-
04.06.2019;02:00;31,86;31,86;31,86;31,86;-;31,86;-;3,21;33,69;31,86;32,98;32,98;31,86;-
