Datum;Uhrzeit;Gesamt[MWh]
03.06.2019;00:00;10.937
03.06.2019;00:15;10.761
03.06.2019;00:30;10.671,25
03.06.2019;00:45;10.532,75
03.06.2019;01:00;10.349,5
03.06.2019;01:15;10.261,5
03.06.2019;01:30;10.242,5
03.06.2019;01:45;10.242
03.06.2019;02:00;10.156,5
03.06.2019;02:15;10.115,5
03.06.2019;02:30;10.135,75
03.06.2019;02:45;10.081
03.06.2019;03:00;10.042,75
03.06.2019;03:15;10.026
03.06.2019;03:30;10.061,5
03.06.2019;03:45;10.091
03.06.2019;04:00;10.132,75
03.06.2019;04:15;10.133,5
03.06.2019;04:30;10.221,5
03.06.2019;04:45;10.296,25
03.06.2019;05:00;10.651,75
03.06.2019;05:15;10.896,25
03.06.2019;05:30;11.195,25
03.06.2019;05:45;11.615,25
03.06.2019;06:00;12.415,75
03.06.2019;06:15;13.041,25
03.06.2019;06:30;13.539,5
03.06.2019;06:45;13.973,75
03.06.2019;07:00;14.403,5
03.06.2019;07:15;14.746,75
03.06.2019;07:30;15.099
03.06.2019;07:45;15.330,75
03.06.2019;08:00;15.342,25
03.06.2019;08:15;15.544
03.06.2019;08:30;15.688
03.06.2019;08:45;15.926
03.06.2019;09:00;15.837,75
03.06.2019;09:15;15.989,25
03.06.2019;09:30;16.148
03.06.2019;09:45;16.327,25
03.06.2019;10:00;16.347,75
03.06.2019;10:15;16.451,75
03.06.2019;10:30;16.511,25
03.06.2019;10:45;16.642,25
03.06.2019;11:00;16.749,5
03.06.2019;11:15;16.931,25
03.06.2019;11:30;16.985,5
03.06.2019;11:45;17.077,5
03.06.2019;12:00;16.935
03.06.2019;12:15;16.947
03.06.2019;12:30;17.000,25
03.06.2019;12:45;17.002
03.06.2019;13:00;16.968,75
03.06.2019;13:15;16.884,5
03.06.2019;13:30;16.808
03.06.2019;13:45;16.695,75
03.06.2019;14:00;16.556,75
03.06.2019;14:15;16.542,5
03.06.2019;14:30;16.548,25
03.06.2019;14:45;16.429,25
03.06.2019;15:00;16.490,75
03.06.2019;15:15;16.547,25
03.06.2019;15:30;16.529,25
03.06.2019;15:45;16.425,25
03.06.2019;16:00;16.403
03.06.2019;16:15;16.305
03.06.2019;16:30;16.199,25
03.06.2019;16:45;16.033,5
03.06.2019;17:00;16.105,75
03.06.2019;17:15;16.082,25
03.06.2019;17:30;16.076,25
03.06.2019;17:45;16.002
03.06.2019;18:00;15.899,5
03.06.2019;18:15;15.642,75
03.06.2019;18:30;15.491,5
03.06.2019;18:45;15.413,5
03.06.2019;19:00;15.392,5
03.06.2019;19:15;15.427
03.06.2019;19:30;15.435
03.06.2019;19:45;15.396
03.06.2019;20:00;15.213,75
03.06.2019;20:15;14.995,75
03.06.2019;20:30;14.891,5
03.06.2019;20:45;14.794,5
03.06.2019;21:00;14.554,75
03.06.2019;21:15;14.401,25
03.06.2019;21:30;14.282,25
03.06.2019;21:45;14.110
03.06.2019;22:00;13.810,25
03.06.2019;22:15;13.653,75
03.06.2019;22:30;13.403,25
03.06.2019;22:45;13.081,75
03.06.2019;23:00;12.754,75
03.06.2019;23:15;12.581,25
03.06.2019;23:30;12.358,75
03.06.2019;23:45;12.193,75
04.06.2019;00:00;11.806,75
04.06.2019;00:15;11.624,5
04.06.2019;00:30;11.532,5
04.06.2019;00:45;11.457,75
04.06.2019;01:00;11.330
04.06.2019;01:15;11.227,75
04.06.2019;01:30;11.196
04.06.2019;01:45;11.157,5
04.06.2019;02:00;11.024,5
04.06.2019;02:15;11.028,25
04.06.2019;02:30;10.987,25
04.06.2019;02:45;11.000,25
04.06.2019;03:00;10.984,25
04.06.2019;03:15;10.979,75
04.06.2019;03:30;11.018,75
04.06.2019;03:45;11.022,5
04.06.2019;04:00;11.111,75
04.06.2019;04:15;11.168,75
04.06.2019;04:30;11.273,5
04.06.2019;04:45;11.368,75
04.06.2019;05:00;11.635
04.06.2019;05:15;11.772
04.06.2019;05:30;12.093,75
04.06.2019;05:45;12.493,25
04.06.2019;06:00;13.264,25
04.06.2019;06:15;13.869,75
04.06.2019;06:30;14.236,25
04.06.2019;06:45;14.559,75
04.06.2019;07:00;14.878,75
04.06.2019;07:15;15.088
04.06.2019;07:30;15.367,5
04.06.2019;07:45;15.578
04.06.2019;08:00;15.667,75
04.06.2019;08:15;15.781,5
04.06.2019;08:30;15.859
04.06.2019;08:45;16.027,25
04.06.2019;09:00;15.924,25
04.06.2019;09:15;16.062
04.06.2019;09:30;16.250
04.06.2019;09:45;16.418
04.06.2019;10:00;16.427,25
04.06.2019;10:15;16.460,75
04.06.2019;10:30;16.524,5
04.06.2019;10:45;16.672,75
04.06.2019;11:00;16.703
04.06.2019;11:15;16.786,75
04.06.2019;11:30;16.864
04.06.2019;11:45;16.914,25
04.06.2019;12:00;16.752
04.06.2019;12:15;16.747
04.06.2019;12:30;16.793,5
04.06.2019;12:45;16.835,25
04.06.2019;13:00;16.834,75
04.06.2019;13:15;16.766
04.06.2019;13:30;16.723
04.06.2019;13:45;16.593
04.06.2019;14:00;16.476
04.06.2019;14:15;16.523,75
04.06.2019;14:30;16.472,5
04.06.2019;14:45;16.367,25
04.06.2019;15:00;16.322
04.06.2019;15:15;16.227
04.06.2019;15:30;16.081,5
04.06.2019;15:45;15.960,75
04.06.2019;16:00;15.926
04.06.2019;16:15;15.796,75
04.06.2019;16:30;15.718,75
04.06.2019;16:45;15.687,75
04.06.2019;17:00;15.780,75
04.06.2019;17:15;15.742,25
04.06.2019;17:30;15.756,5
04.06.2019;17:45;15.786
04.06.2019;18:00;15.551,75
04.06.2019;18:15;15.509,75
04.06.2019;18:30;15.473,75
04.06.2019;18:45;15.466
04.06.2019;19:00;15.398,75
04.06.2019;19:15;15.295,5
04.06.2019;19:30;15.261,25
04.06.2019;19:45;15.247,75
04.06.2019;20:00;15.175,5
04.06.2019;20:15;14.981
04.06.2019;20:30;14.874,25
04.06.2019;20:45;14.737,5
04.06.2019;21:00;14.543,25
04.06.2019;21:15;14.337,5
04.06.2019;21:30;14.342,5
04.06.2019;21:45;14.218,5
04.06.2019;22:00;14.158,75
04.06.2019;22:15;13.986,25
04.06.2019;22:30;13.670,25
04.06.2019;22:45;13.456,5
04.06.2019;23:00;13.123,75
04.06.2019;23:15;12.943,75
04.06.2019;23:30;12.878,25
04.06.2019;23:45;12.686
05.06.2019;00:00;12.434,25
05.06.2019;00:15;12.304,25
05.06.2019;00:30;12.224
05.06.2019;00:45;12.031
05.06.2019;01:00;11.880,25
05.06.2019;01:15;11.865,5
05.06.2019;01:30;11.754,25
